Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment,
2025.01.01 02:50:00,2,BITCOIN,buy,in,0.01,93 751.77,2,0.00,0.00,0.00,1 000.00,TP_Integrated BITCOIN_05M_3.0,
2025.01.01 04:00:00,3,BITCOIN,sell,out,0.01,93 376.26,3,0.00,0.00,- 3.76, 996.24,,
2025.01.01 04:00:01,4,BITCOIN,sell,in,0.01,93 376.26,4,0.00,0.00,0.00, 996.24,TP_Integrated BITCOIN_05M_3.0,
2025.01.01 04:55:00,5,BITCOIN,buy,out,0.01,93 799.10,5,0.00,0.00,- 4.23, 992.01,,
2025.01.01 04:55:00,6,BITCOIN,buy,in,0.01,93 793.50,6,0.00,0.00,0.00, 992.01,TP_Integrated BITCOIN_05M_3.0,
2025.01.01 05:55:00,7,BITCOIN,sell,out,0.01,93 577.43,7,0.00,0.00,- 2.16, 989.85,,
2025.01.01 05:55:01,8,BITCOIN,sell,in,0.01,93 575.05,8,0.00,0.00,0.00, 989.85,TP_Integrated BITCOIN_05M_3.0,
2025.01.01 09:55:00,9,BITCOIN,buy,out,0.01,93 535.30,9,0.00,0.00, 0.40, 990.25,,
2025.01.01 09:55:00,10,BITCOIN,buy,in,0.01,93 535.05,10,0.00,0.00,0.00, 990.25,TP_Integrated BITCOIN_05M_3.0,
2025.01.01 10:00:00,11,BITCOIN,sell,out,0.01,93 443.67,11,0.00,0.00,- 0.91, 989.34,,
2025.01.01 10:00:00,12,BITCOIN,sell,in,0.01,93 443.67,12,0.00,0.00,0.00, 989.34,TP_Integrated BITCOIN_05M_3.0,
2025.01.01 14:20:01,13,BITCOIN,buy,out,0.01,93 285.18,13,0.00,0.00, 1.58, 990.92,,
2025.01.01 14:20:01,14,BITCOIN,buy,in,0.01,93 279.31,14,0.00,0.00,0.00, 990.92,TP_Integrated BITCOIN_05M_3.0,
2025.01.01 19:15:01,15,BITCOIN,sell,out,0.01,93 516.08,15,0.00,0.00, 2.37, 993.29,,
2025.01.01 19:15:01,16,BITCOIN,sell,in,0.01,93 517.96,16,0.00,0.00,0.00, 993.29,TP_Integrated BITCOIN_05M_3.0,
2025.01.01 20:25:00,17,BITCOIN,buy,out,0.01,93 854.53,17,0.00,0.00,- 3.37, 989.92,,
2025.01.01 20:25:00,18,BITCOIN,buy,in,0.01,93 855.27,18,0.00,0.00,0.00, 989.92,TP_Integrated BITCOIN_05M_3.0,
2025.01.02 02:05:00,19,BITCOIN,sell,out,0.01,94 177.11,19,0.00,0.00, 3.22, 993.14,,
2025.01.02 02:05:00,20,BITCOIN,sell,in,0.01,94 177.11,20,0.00,0.00,0.00, 993.14,TP_Integrated BITCOIN_05M_3.0,
2025.01.02 02:30:00,21,BITCOIN,buy,out,0.01,94 649.02,21,0.00,0.00,- 4.72, 988.42,,
2025.01.02 02:30:00,22,BITCOIN,buy,in,0.01,94 642.52,22,0.00,0.00,0.00, 988.42,TP_Integrated BITCOIN_05M_3.0,
2025.01.02 16:05:00,23,BITCOIN,sell,out,0.01,95 889.22,23,0.00,0.00, 12.47,1 000.89,,
2025.01.02 16:05:00,24,BITCOIN,sell,in,0.01,95 878.60,24,0.00,0.00,0.00,1 000.89,TP_Integrated BITCOIN_05M_3.0,
2025.01.02 16:50:00,25,BITCOIN,buy,out,0.01,97 064.65,25,0.00,0.00,- 11.86, 989.03,,
