Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment,
2025.01.02 01:10:00,2,EURUSD,sell,in,0.01, 1.03539,2,0.00,0.00,0.00,1 000.00,TP_Integrated 4_13,
2025.01.02 05:00:00,3,EURUSD,buy,out,0.01, 1.03721,3,0.00,0.00,- 1.82, 998.18,,
2025.01.02 05:00:01,4,EURUSD,buy,in,0.01, 1.03721,4,0.00,0.00,0.00, 998.18,TP_Integrated 4_13,
2025.01.02 17:59:10,5,EURUSD,sell,out,0.01, 1.02721,5,0.00,0.00,- 10.00, 988.18,sl 1.02721,
2025.01.03 03:00:00,6,EURUSD,buy,in,0.01, 1.02740,6,0.00,0.00,0.00, 988.18,TP_Integrated 4_13,
2025.01.03 12:15:00,7,EURUSD,sell,out,0.01, 1.02845,7,0.00,0.00, 1.05, 989.23,,
2025.01.03 12:15:00,8,EURUSD,sell,in,0.01, 1.02845,8,0.00,0.00,0.00, 989.23,TP_Integrated 4_13,
2025.01.03 18:30:01,9,EURUSD,buy,out,0.01, 1.02968,9,0.00,0.00,- 1.23, 988.00,,
2025.01.03 18:30:01,10,EURUSD,buy,in,0.01, 1.02965,10,0.00,0.00,0.00, 988.00,TP_Integrated 4_13,
2025.01.03 21:00:00,11,EURUSD,sell,out,0.01, 1.02963,11,0.00,0.00,- 0.02, 987.98,,
2025.01.03 21:00:00,12,EURUSD,sell,in,0.01, 1.02962,12,0.00,0.00,0.00, 987.98,TP_Integrated 4_13,
2025.01.06 10:05:00,13,EURUSD,buy,out,0.01, 1.03349,13,0.00, 0.03,- 3.87, 984.14,,
2025.01.06 10:05:01,14,EURUSD,buy,in,0.01, 1.03349,14,0.00,0.00,0.00, 984.14,TP_Integrated 4_13,
2025.01.06 13:14:44,15,EURUSD,sell,out,0.01, 1.03851,15,0.00,0.00, 5.02, 989.16,tp 1.03849,
2025.01.07 01:15:00,16,EURUSD,sell,in,0.01, 1.03850,16,0.00,0.00,0.00, 989.16,TP_Integrated 4_13,
2025.01.07 09:45:00,17,EURUSD,buy,out,0.01, 1.04248,17,0.00,0.00,- 3.98, 985.18,,
2025.01.07 09:45:00,18,EURUSD,buy,in,0.01, 1.04219,18,0.00,0.00,0.00, 985.18,TP_Integrated 4_13,
2025.01.07 14:55:00,19,EURUSD,sell,out,0.01, 1.03883,19,0.00,0.00,- 3.36, 981.82,,
2025.01.07 14:55:00,20,EURUSD,sell,in,0.01, 1.03883,20,0.00,0.00,0.00, 981.82,TP_Integrated 4_13,
2025.01.07 15:25:00,21,EURUSD,buy,out,0.01, 1.04033,21,0.00,0.00,- 1.50, 980.32,,
2025.01.07 15:25:00,22,EURUSD,buy,in,0.01, 1.04033,22,0.00,0.00,0.00, 980.32,TP_Integrated 4_13,
2025.01.07 23:10:04,23,EURUSD,sell,out,0.01, 1.03413,23,0.00,0.00,- 6.20, 974.12,,
2025.01.07 23:10:04,24,EURUSD,sell,in,0.01, 1.03413,24,0.00,0.00,0.00, 974.12,TP_Integrated 4_13,
2025.01.08 07:30:00,25,EURUSD,buy,out,0.01, 1.03558,25,0.00, 0.03,- 1.45, 972.70,,
2025.01.08 07:30:00,26,EURUSD,buy,in,0.01, 1.03558,26,0.00,0.00,0.00, 972.70,TP_Integrated 4_13,
2025.01.08 19:20:00,27,EURUSD,sell,out,0.01, 1.03001,27,0.00,0.00,- 5.57, 967.13,,
2025.01.08 19:20:00,28,EURUSD,sell,in,0.01, 1.03005,28,0.00,0.00,0.00, 967.13,TP_Integrated 4_13,
2025.01.09 03:15:01,29,EURUSD,buy,out,0.01, 1.03143,29,0.00, 0.10,- 1.38, 965.85,,
2025.01.09 03:15:01,30,EURUSD,buy,in,0.01, 1.03143,30,0.00,0.00,0.00, 965.85,TP_Integrated 4_13,
2025.01.09 06:00:00,31,EURUSD,sell,out,0.01, 1.03103,31,0.00,0.00,- 0.40, 965.45,,
2025.01.09 06:00:00,32,EURUSD,sell,in,0.01, 1.03102,32,0.00,0.00,0.00, 965.45,TP_Integrated 4_13,
2025.01.09 11:00:00,33,EURUSD,buy,out,0.01, 1.03086,33,0.00,0.00, 0.16, 965.61,,
2025.01.09 11:00:00,34,EURUSD,buy,in,0.01, 1.03086,34,0.00,0.00,0.00, 965.61,TP_Integrated 4_13,
2025.01.09 12:00:00,35,EURUSD,sell,out,0.01, 1.03050,35,0.00,0.00,- 0.36, 965.25,,
2025.01.09 12:00:00,36,EURUSD,sell,in,0.01, 1.03050,36,0.00,0.00,0.00, 965.25,TP_Integrated 4_13,
2025.01.10 10:00:00,37,EURUSD,buy,out,0.01, 1.02982,37,0.00, 0.03, 0.68, 965.96,,
2025.01.10 10:00:00,38,EURUSD,buy,in,0.01, 1.02979,38,0.00,0.00,0.00, 965.96,TP_Integrated 4_13,
2025.01.13 02:50:00,39,EURUSD,sell,out,0.01, 1.02371,39,0.00,- 0.09,- 6.08, 959.79,,
2025.01.13 02:50:00,40,EURUSD,sell,in,0.01, 1.02371,40,0.00,0.00,0.00, 959.79,TP_Integrated 4_13,
2025.01.13 03:15:00,41,EURUSD,buy,out,0.01, 1.02462,41,0.00,0.00,- 0.91, 958.88,,
2025.01.13 03:15:00,42,EURUSD,buy,in,0.01, 1.02462,42,0.00,0.00,0.00, 958.88,TP_Integrated 4_13,
2025.01.13 08:55:00,43,EURUSD,sell,out,0.01, 1.02155,43,0.00,0.00,- 3.07, 955.81,,
2025.01.13 08:55:00,44,EURUSD,sell,in,0.01, 1.02155,44,0.00,0.00,0.00, 955.81,TP_Integrated 4_13,
2025.01.13 23:30:00,45,EURUSD,buy,out,0.01, 1.02234,45,0.00,0.00,- 0.79, 955.02,,
2025.01.13 23:30:00,46,EURUSD,buy,in,0.01, 1.02234,46,0.00,0.00,0.00, 955.02,TP_Integrated 4_13,
2025.01.14 01:33:07,47,EURUSD,sell,out,0.01, 1.02736,47,0.00,- 0.09, 5.02, 959.95,tp 1.02734,
2025.01.14 07:20:02,48,EURUSD,sell,in,0.01, 1.02459,48,0.00,0.00,0.00, 959.95,TP_Integrated 4_13,
2025.01.14 14:45:00,49,EURUSD,buy,out,0.01, 1.02537,49,0.00,0.00,- 0.78, 959.17,,
2025.01.14 14:45:00,50,EURUSD,buy,in,0.01, 1.02537,50,0.00,0.00,0.00, 959.17,TP_Integrated 4_13,
2025.01.14 21:36:48,51,EURUSD,sell,out,0.01, 1.03043,51,0.00,0.00, 5.06, 964.23,tp 1.03037,
2025.01.14 22:30:00,52,EURUSD,buy,in,0.01, 1.03080,52,0.00,0.00,0.00, 964.23,TP_Integrated 4_13,
2025.01.14 23:10:00,53,EURUSD,sell,out,0.01, 1.03020,53,0.00,0.00,- 0.60, 963.63,,
2025.01.14 23:10:00,54,EURUSD,sell,in,0.01, 1.03020,54,0.00,0.00,0.00, 963.63,TP_Integrated 4_13,
2025.01.14 23:30:00,55,EURUSD,buy,out,0.01, 1.03073,55,0.00,0.00,- 0.53, 963.10,,
2025.01.14 23:30:00,56,EURUSD,buy,in,0.01, 1.03073,56,0.00,0.00,0.00, 963.10,TP_Integrated 4_13,
2025.01.15 09:05:00,57,EURUSD,sell,out,0.01, 1.02916,57,0.00,- 0.09,- 1.57, 961.44,,
2025.01.15 09:05:00,58,EURUSD,sell,in,0.01, 1.02916,58,0.00,0.00,0.00, 961.44,TP_Integrated 4_13,
2025.01.15 10:05:00,59,EURUSD,buy,out,0.01, 1.03115,59,0.00,0.00,- 1.99, 959.45,,
2025.01.15 10:05:00,60,EURUSD,buy,in,0.01, 1.03115,60,0.00,0.00,0.00, 959.45,TP_Integrated 4_13,
2025.01.17 06:45:00,61,EURUSD,sell,out,0.01, 1.02925,61,0.00,- 0.35,- 1.90, 957.20,,
