Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment,
2025.01.02 04:00:00,2,US30,buy,in,0.19,42 672.3,2,0.00,0.00,0.00,1 000.00,TP_Auto_2.8,
2025.01.10 15:45:00,3,US30,sell,out,0.19,42 332.8,3,0.00,- 12.31,- 64.51, 923.18,,
2025.01.10 15:45:00,4,US30,sell,in,0.18,42 331.8,4,0.00,0.00,0.00, 923.18,TP_Auto_2.8,
2025.01.13 16:45:00,5,US30,buy,out,0.18,42 051.1,5,0.00, 1.73, 50.53, 975.44,,
2025.01.13 16:45:01,6,US30,buy,in,0.19,42 052.1,6,0.00,0.00,0.00, 975.44,TP_Auto_2.8,
2025.01.14 18:45:00,7,US30,sell,out,0.19,42 239.9,7,0.00,- 1.54, 35.68,1 009.58,,
2025.01.14 18:45:00,8,US30,sell,in,0.2,42 240.9,8,0.00,0.00,0.00,1 009.58,TP_Auto_2.8,
2025.01.14 21:00:00,9,US30,buy,out,0.2,42 553.1,9,0.00,0.00,- 62.44, 947.14,,
2025.01.14 21:00:00,10,US30,buy,in,0.18,42 554.1,10,0.00,0.00,0.00, 947.14,TP_Auto_2.8,
2025.01.16 13:30:00,11,US30,sell,out,0.18,43 197.3,11,0.00,- 2.90, 115.78,1 060.02,,
2025.01.16 13:30:00,12,US30,sell,in,0.21,43 197.3,12,0.00,0.00,0.00,1 060.02,TP_Auto_2.8,
2025.01.16 19:15:00,13,US30,buy,out,0.21,43 294.1,13,0.00,0.00,- 20.33,1 039.69,,
2025.01.16 19:15:00,14,US30,buy,in,0.2,43 295.1,14,0.00,0.00,0.00,1 039.69,TP_Auto_2.8,
2025.01.16 20:45:00,15,US30,sell,out,0.2,43 171.9,15,0.00,0.00,- 24.64,1 015.05,,
2025.01.16 20:45:01,16,US30,sell,in,0.2,43 173.9,16,0.00,0.00,0.00,1 015.05,TP_Auto_2.8,
2025.01.17 19:34:54,17,US30,buy,out,0.2,43 674.1,17,0.00, 0.64,- 100.04, 915.65,sl 43673.9,
2025.01.20 15:45:00,18,US30,buy,in,0.18,43 631.3,18,0.00,0.00,0.00, 915.65,TP_Auto_2.8,
2025.01.24 14:15:00,19,US30,sell,out,0.18,44 476.3,19,0.00,- 5.80, 152.10,1 061.95,,
2025.01.24 14:15:00,20,US30,sell,in,0.21,44 476.3,20,0.00,0.00,0.00,1 061.95,TP_Auto_2.8,
2025.01.27 17:00:00,21,US30,buy,out,0.21,44 360.1,21,0.00, 2.02, 24.40,1 088.37,,
2025.01.27 17:00:01,22,US30,buy,in,0.21,44 362.7,22,0.00,0.00,0.00,1 088.37,TP_Auto_2.8,
2025.01.30 14:15:00,23,US30,sell,out,0.21,44 726.8,23,0.00,- 5.10, 76.46,1 159.73,,
2025.01.30 14:15:01,24,US30,sell,in,0.23,44 727.8,24,0.00,0.00,0.00,1 159.73,TP_Auto_2.8,
2025.01.30 19:00:00,25,US30,buy,out,0.23,44 934.1,25,0.00,0.00,- 47.45,1 112.28,,
