Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment,
2025.01.10 12:45:00,2,NAS100,buy,in,0.01,21 158.5,2,0.00,0.00,0.00,1 000.00,TP_Integrated 3_1,
2025.04.02 23:45:00,3,NAS100,sell,out,0.01,18 986.8,3,0.00,- 3.40,- 21.72, 974.88,,
2025.04.02 23:45:00,4,NAS100,sell,in,0.01,18 986.4,4,0.00,0.00,0.00, 974.88,TP_Integrated 3_1,
2025.04.11 19:45:00,5,NAS100,buy,out,0.01,18 621.5,5,0.00, 0.17, 3.65, 978.70,,
2025.04.11 19:45:00,6,NAS100,buy,in,0.01,18 622.5,6,0.00,0.00,0.00, 978.70,TP_Integrated 3_1,
2025.05.01 23:15:00,7,NAS100,sell,out,0.01,19 706.5,7,0.00,- 0.83, 10.84, 988.71,,
2025.05.01 23:15:01,8,NAS100,sell,in,0.01,19 706.5,8,0.00,0.00,0.00, 988.71,TP_Integrated 3_1,
2025.05.06 19:15:00,9,NAS100,buy,out,0.01,19 922.0,9,0.00, 0.09,- 2.16, 986.64,,
2025.05.06 19:15:00,10,NAS100,buy,in,0.01,19 920.5,10,0.00,0.00,0.00, 986.64,TP_Integrated 3_1,
2025.05.06 23:30:00,11,NAS100,sell,out,0.01,19 734.2,11,0.00,0.00,- 1.86, 984.78,,
2025.05.06 23:30:00,12,NAS100,sell,in,0.01,19 734.2,12,0.00,0.00,0.00, 984.78,TP_Integrated 3_1,
2025.05.07 23:45:00,13,NAS100,buy,out,0.01,19 873.3,13,0.00, 0.02,- 1.39, 983.41,,
2025.05.07 23:45:01,14,NAS100,buy,in,0.01,19 873.3,14,0.00,0.00,0.00, 983.41,TP_Integrated 3_1,
2025.08.15 12:15:00,15,NAS100,sell,out,0.01,23 812.9,15,0.00,- 4.14, 39.40,1 018.67,,
2025.08.15 12:15:01,16,NAS100,sell,in,0.01,23 812.9,16,0.00,0.00,0.00,1 018.67,TP_Integrated 3_1,
2025.08.19 12:15:00,17,NAS100,buy,out,0.01,23 721.9,17,0.00, 0.07, 0.91,1 019.65,,
2025.08.19 12:15:01,18,NAS100,buy,in,0.01,23 721.9,18,0.00,0.00,0.00,1 019.65,TP_Integrated 3_1,
2025.08.21 12:15:00,19,NAS100,sell,out,0.01,23 238.9,19,0.00,- 0.08,- 4.83,1 014.74,,
2025.08.21 12:15:01,20,NAS100,sell,in,0.01,23 238.9,20,0.00,0.00,0.00,1 014.74,TP_Integrated 3_1,
2025.08.22 12:00:00,21,NAS100,buy,out,0.01,23 193.9,21,0.00, 0.02, 0.45,1 015.21,,
2025.08.22 12:00:00,22,NAS100,buy,in,0.01,23 193.9,22,0.00,0.00,0.00,1 015.21,TP_Integrated 3_1,
2025.08.27 19:45:00,23,NAS100,sell,out,0.01,23 523.2,23,0.00,- 0.21, 3.29,1 018.29,,
2025.08.27 19:45:01,24,NAS100,sell,in,0.01,23 523.2,24,0.00,0.00,0.00,1 018.29,TP_Integrated 3_1,
2025.09.02 23:15:00,25,NAS100,buy,out,0.01,23 324.2,25,0.00, 0.11, 1.99,1 020.39,,
2025.09.02 23:15:00,26,NAS100,buy,in,0.01,23 324.5,26,0.00,0.00,0.00,1 020.39,TP_Integrated 3_1,
2025.09.29 23:58:58,27,NAS100,sell,out,0.01,24 617.3,27,0.00,- 1.12, 12.93,1 032.20,end of test,
,,,,,,,,0.00,- 9.30, 41.50,1 032.20,,
