Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment,
2025.01.02 02:45:00,2,US30,buy,in,0.01,42 589.3,2,0.00,0.00,0.00,1 000.00,TP_Integrated 4_13,
2025.01.03 01:05:00,3,US30,sell,out,0.01,42 445.8,3,0.00,- 0.08,- 1.44, 998.48,,
2025.01.03 01:05:01,4,US30,sell,in,0.01,42 447.4,4,0.00,0.00,0.00, 998.48,TP_Integrated 4_13,
2025.01.03 02:10:00,5,US30,buy,out,0.01,42 475.3,5,0.00,0.00,- 0.28, 998.20,,
2025.01.03 02:10:00,6,US30,buy,in,0.01,42 475.3,6,0.00,0.00,0.00, 998.20,TP_Integrated 4_13,
2025.01.06 02:45:00,7,US30,sell,out,0.01,42 727.8,7,0.00,- 0.24, 2.53,1 000.49,,
2025.01.06 02:45:01,8,US30,sell,in,0.01,42 727.8,8,0.00,0.00,0.00,1 000.49,TP_Integrated 4_13,
2025.01.06 16:55:00,9,US30,buy,out,0.01,42 996.1,9,0.00,0.00,- 2.68, 997.81,,
2025.01.06 16:55:00,10,US30,buy,in,0.01,42 992.1,10,0.00,0.00,0.00, 997.81,TP_Integrated 4_13,
2025.01.07 05:10:00,11,US30,sell,out,0.01,42 708.8,11,0.00,- 0.08,- 2.83, 994.90,,
2025.01.07 05:10:01,12,US30,sell,in,0.01,42 708.8,12,0.00,0.00,0.00, 994.90,TP_Integrated 4_13,
2025.01.07 08:00:00,13,US30,buy,out,0.01,42 726.3,13,0.00,0.00,- 0.18, 994.72,,
2025.01.07 08:00:01,14,US30,buy,in,0.01,42 725.3,14,0.00,0.00,0.00, 994.72,TP_Integrated 4_13,
2025.01.07 22:35:00,15,US30,sell,out,0.01,42 452.9,15,0.00,0.00,- 2.72, 992.00,,
2025.01.07 22:35:01,16,US30,sell,in,0.01,42 450.9,16,0.00,0.00,0.00, 992.00,TP_Integrated 4_13,
2025.01.07 22:55:00,17,US30,buy,out,0.01,42 561.1,17,0.00,0.00,- 1.10, 990.90,,
2025.01.07 22:55:00,18,US30,buy,in,0.01,42 563.1,18,0.00,0.00,0.00, 990.90,TP_Integrated 4_13,
2025.01.08 04:40:04,19,US30,sell,out,0.01,42 625.8,19,0.00,- 0.08, 0.63, 991.45,,
2025.01.08 04:40:04,20,US30,sell,in,0.01,42 627.8,20,0.00,0.00,0.00, 991.45,TP_Integrated 4_13,
2025.01.09 03:05:01,21,US30,buy,out,0.01,42 600.3,21,0.00, 0.03, 0.28, 991.76,,
2025.01.09 03:05:01,22,US30,buy,in,0.01,42 600.3,22,0.00,0.00,0.00, 991.76,TP_Integrated 4_13,
2025.01.14 08:45:00,23,US30,sell,out,0.01,42 394.8,23,0.00,- 0.40,- 2.06, 989.30,,
