Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment,
2025.01.02 04:20:00,2,USDJPY,sell,in,0.01, 157.398,2,0.00,0.00,0.00,1 000.00,TP_Integrated 4_13,
2025.01.02 08:27:35,3,USDJPY,buy,out,0.01, 156.870,3,0.00,0.00, 3.37,1 003.37,tp 156.898,
2025.01.02 18:05:00,4,USDJPY,buy,in,0.01, 157.347,4,0.00,0.00,0.00,1 003.37,TP_Integrated 4_13,
2025.01.03 00:30:00,5,USDJPY,sell,out,0.01, 157.453,5,0.00, 0.05, 0.67,1 004.09,,
2025.01.03 00:30:01,6,USDJPY,sell,in,0.01, 157.453,6,0.00,0.00,0.00,1 004.09,TP_Integrated 4_13,
2025.01.03 01:15:00,7,USDJPY,buy,out,0.01, 157.499,7,0.00,0.00,- 0.29,1 003.80,,
2025.01.03 01:15:01,8,USDJPY,buy,in,0.01, 157.499,8,0.00,0.00,0.00,1 003.80,TP_Integrated 4_13,
2025.01.03 09:55:00,9,USDJPY,sell,out,0.01, 157.084,9,0.00,0.00,- 2.64,1 001.16,,
2025.01.03 09:55:00,10,USDJPY,sell,in,0.01, 157.084,10,0.00,0.00,0.00,1 001.16,TP_Integrated 4_13,
2025.01.03 19:50:00,11,USDJPY,buy,out,0.01, 157.126,11,0.00,0.00,- 0.27,1 000.89,,
2025.01.03 19:50:00,12,USDJPY,buy,in,0.01, 157.126,12,0.00,0.00,0.00,1 000.89,TP_Integrated 4_13,
2025.01.06 02:08:06,13,USDJPY,sell,out,0.01, 157.632,13,0.00, 0.05, 3.21,1 004.15,tp 157.626,
2025.01.06 10:10:00,14,USDJPY,buy,in,0.01, 157.728,14,0.00,0.00,0.00,1 004.15,TP_Integrated 4_13,
2025.01.06 13:20:00,15,USDJPY,sell,out,0.01, 157.642,15,0.00,0.00,- 0.55,1 003.60,,
2025.01.06 13:20:00,16,USDJPY,sell,in,0.01, 157.621,16,0.00,0.00,0.00,1 003.60,TP_Integrated 4_13,
2025.01.06 14:01:03,17,USDJPY,buy,out,0.01, 157.115,17,0.00,0.00, 3.22,1 006.82,tp 157.121,
2025.01.06 23:10:02,18,USDJPY,buy,in,0.01, 157.654,18,0.00,0.00,0.00,1 006.82,TP_Integrated 4_13,
2025.01.07 02:33:30,19,USDJPY,sell,out,0.01, 158.165,19,0.00, 0.05, 3.23,1 010.10,tp 158.154,
2025.01.07 12:25:00,20,USDJPY,buy,in,0.01, 157.672,20,0.00,0.00,0.00,1 010.10,TP_Integrated 4_13,
2025.01.07 17:00:38,21,USDJPY,sell,out,0.01, 158.181,21,0.00,0.00, 3.22,1 013.32,tp 158.172,
2025.01.07 22:25:00,22,USDJPY,sell,in,0.01, 157.739,22,0.00,0.00,0.00,1 013.32,TP_Integrated 4_13,
2025.01.07 22:50:00,23,USDJPY,buy,out,0.01, 157.814,23,0.00,0.00,- 0.48,1 012.84,,
2025.01.07 22:50:00,24,USDJPY,buy,in,0.01, 157.815,24,0.00,0.00,0.00,1 012.84,TP_Integrated 4_13,
2025.01.08 12:43:49,25,USDJPY,sell,out,0.01, 158.315,25,0.00, 0.05, 3.16,1 016.05,tp 158.315,
2025.01.08 13:25:00,26,USDJPY,buy,in,0.01, 158.401,26,0.00,0.00,0.00,1 016.05,TP_Integrated 4_13,
2025.01.09 03:40:00,27,USDJPY,sell,out,0.01, 158.078,27,0.00, 0.14,- 2.04,1 014.15,,
2025.01.09 03:40:01,28,USDJPY,sell,in,0.01, 158.085,28,0.00,0.00,0.00,1 014.15,TP_Integrated 4_13,
2025.01.09 15:45:25,29,USDJPY,buy,out,0.01, 157.585,29,0.00,0.00, 3.17,1 017.32,tp 157.585,
2025.01.09 16:30:00,30,USDJPY,buy,in,0.01, 157.815,30,0.00,0.00,0.00,1 017.32,TP_Integrated 4_13,
2025.01.10 01:55:00,31,USDJPY,sell,out,0.01, 158.057,31,0.00, 0.05, 1.53,1 018.90,,
