EAName,EAVersion,Ticket,OpenTime,CloseTime,Symbol,Type,Lots,OpenPrice,ClosePrice,SL,TP,EntryQuality,EntryConfluence,EntryMomentum,EntryEntropy,EntryZone,EntryRegime,EntrySpread,ExitReason,ExitQuality,ExitConfluence,ExitZone,ExitRegime,Profit,ProfitPercent,Pips,HoldTimeBars,HoldTimeMinutes,RiskPercent,RRatio,Slippage,Commission,MFE,MAE,MFE_Percent,MAE_Percent,MFE_Pips,MAE_Pips,MFE_TimeBars,MAE_TimeBars,RunUp_Price,RunUp_Pips,RunUp_Percent,RunUp_TimeBars,RunDown_Price,RunDown_Pips,RunDown_Percent,RunDown_TimeBars,BalanceAfter,EquityAfter,DrawdownPercent,EntryHour,EntryDayOfWeek,ExitHour,ExitDayOfWeek
TP_Integrated_EA,3.10_PRODUCTION,2,2025.01.02 01:45,2025.01.02 01:45,NAS100,SELL,3.99,21081.1,21086.1,21086.1,21071.1,78.33333333333333,80.0,-191.43642238959933,0.0,AVOID,LOW,20.0,SL,0.0,0.0,UNKNOWN,UNKNOWN,-19.95,-2.035610428039386,-5.0,1,0,2.0,-1.017805214019693,0.0,0.0,21081.1,21085.3,0.0,-0.042000000000007275,0.0,-4.200000000000728,0,1,20946.8,139.29999999999927,-0.6606247717690767,7,21160.6,-74.5,0.3533133201492927,45,980.05,980.05,0.0,1,4,1,4
TP_Integrated_EA,3.10_PRODUCTION,4,2025.01.02 02:00,2025.01.02 02:00,NAS100,BUY,3.92,21090.3,21084.6,21085.3,21100.3,89.0,60.0,-291.2824584858076,0.0,TRANSITION,LOW,20.0,SL,0.0,0.0,UNKNOWN,UNKNOWN,-22.34,-2.332647669962723,-5.700000000000728,1,0,2.0,-1.1663238349813616,0.0,0.0,21090.3,21087.3,0.0,-0.03,0.0,-3.0,0,1,21160.6,76.0,0.36045265264695564,42,20946.8,-137.79999999999927,-0.6535575728256607,4,957.71,957.71,0.0,2,4,2,4
TP_Integrated_EA,3.10_PRODUCTION,6,2025.01.02 02:10,2025.01.02 02:10,NAS100,BUY,3.83,21057.3,21051.3,21052.3,21067.3,89.0,60.0,-245.25664821591508,0.0,TRANSITION,NORMAL,20.0,SL,0.0,0.0,UNKNOWN,UNKNOWN,-22.98,-2.458463941459031,-6.0,1,0,2.0,-1.2292319707295154,0.0,0.0,21057.3,21053.6,0.0,-0.03700000000000728,0.0,-3.7000000000007276,0,1,21160.6,109.29999999999927,0.5192078398958699,40,20946.8,-104.5,-0.49640639770465483,2,934.73,934.73,0.0,2,4,2,4
TP_Integrated_EA,3.10_PRODUCTION,8,2025.01.02 02:35,2025.01.02 02:35,NAS100,BUY,3.73,20994.8,20989.8,20989.8,21004.8,86.33333333333334,60.0,-343.01733639057517,0.0,TRANSITION,NORMAL,20.0,SL,0.0,0.0,UNKNOWN,UNKNOWN,-18.65,-2.035848397519867,-5.0,1,0,2.0,-1.0179241987599335,0.0,0.0,20994.8,20990.3,0.0,-0.045,0.0,-4.5,0,1,21160.6,170.79999999999927,0.8137285729258938,35,20983.8,-6.0,-0.028585312866249324,1,916.08,916.08,0.0,2,4,2,4
TP_Integrated_EA,3.10_PRODUCTION,10,2025.01.02 02:50,2025.01.02 02:51,NAS100,BUY,3.66,21050.3,21045.3,21045.3,21060.3,89.0,80.0,124.8933818102019,0.0,BULL,NORMAL,20.0,SL,0.0,0.0,UNKNOWN,UNKNOWN,-18.3,-2.038361291184923,-5.0,1,1,2.0,-1.0191806455924615,0.0,0.0,21052.3,21046.3,0.02,-0.04,2.0,-4.0,1,1,21160.6,115.29999999999927,0.5478657942628486,32,21042.3,-3.0,-0.01425496429131445,1,897.78,897.78,0.0,2,4,2,4
TP_Integrated_EA,3.10_PRODUCTION,12,2025.01.02 03:25,2025.01.02 03:25,NAS100,SELL,3.59,21115.8,21120.8,21120.8,21105.8,86.33333333333334,80.0,448.11584722071984,0.0,TRANSITION,NORMAL,20.0,SL,0.0,0.0,UNKNOWN,UNKNOWN,-17.95,-2.0401668504142845,-5.0,1,0,2.0,-1.0200834252071422,0.0,0.0,21115.8,21119.1,0.0,-0.03299999999999272,0.0,-3.2999999999992724,0,1,21085.3,35.5,-0.16808075451687435,3,21175.1,-54.29999999999927,0.2570925343736945,47,879.83,879.83,0.0,3,4,3,4
TP_Integrated_EA,3.10_PRODUCTION,14,2025.01.02 03:40,2025.01.02 03:40,NAS100,BUY,3.51,21127.3,21122.1,21122.3,21137.3,81.0,100.0,457.33765843577,0.0,BULL,NORMAL,20.0,SL,0.0,0.0,UNKNOWN,UNKNOWN,-18.25,-2.1182014438589567,-5.200000000000728,1,0,2.0,-1.0591007219294784,0.0,0.0,21127.3,21123.3,0.0,-0.04,0.0,-4.0,0,1,21185.6,63.5,0.30063298630344526,49,21107.8,-14.299999999999272,-0.06770160163998501,2,861.58,861.58,0.0,3,4,3,4
TP_Integrated_EA,3.10_PRODUCTION,16,2025.01.02 03:55,2025.01.02 03:55,NAS100,BUY,3.44,21132.6,21126.6,21127.6,21142.6,81.0,100.0,512.2699070983077,0.0,BULL,NORMAL,20.0,SL,0.0,0.0,UNKNOWN,UNKNOWN,-20.64,-2.4543962708397746,-6.0,1,0,2.0,-1.2271981354198873,0.0,0.0,21132.6,21128.3,0.0,-0.042999999999992725,0.0,-4.299999999999272,0,1,21197.8,71.20000000000073,0.33701589465413617,48,21109.6,-17.0,-0.08046727821798112,1,840.94,840.94,0.0,3,4,3,4
TP_Integrated_EA,3.10_PRODUCTION,18,2025.01.02 05:25,2025.01.02 05:28,NAS100,BUY,3.36,21150.3,21160.6,21145.3,21160.3,73.0,100.0,260.11704401083267,0.0,AVOID,LOW,20.0,TP,0.0,0.0,UNKNOWN,UNKNOWN,34.61,3.9529438638570045,10.299999999999272,1,3,2.0,1.9764719319285022,0.0,0.0,21159.8,21146.1,0.095,-0.042000000000007275,9.5,-4.200000000000728,1,1,21218.8,58.20000000000073,0.27503946012873326,44,21109.6,-51.0,-0.24101395990661895,12,875.55,875.55,0.0,5,4,5,4
TP_Integrated_EA,3.10_PRODUCTION,20,2025.01.02 05:50,2025.01.02 05:50,NAS100,SELL,3.5,21124.8,21130.1,21129.8,21114.8,75.66666666666666,80.0,-126.79123054572335,0.0,AVOID,LOW,20.0,SL,0.0,0.0,UNKNOWN,UNKNOWN,-18.55,-2.164527421236873,-5.299999999999272,1,0,2.0,-1.0822637106184365,0.0,0.0,21124.8,21128.8,0.0,-0.04,0.0,-4.0,0,1,21109.6,20.5,-0.09701799802177936,7,21218.8,-88.70000000000073,0.4197803133918,39,857.0,857.0,0.0,5,4,5,4
