Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment,
2025.10.01 03:55:00,2,NAS100,buy,in,0.99,24 619.6,2,0.00,0.00,0.00,10 000.00,TP_Integrated 5_0_0_2,
2025.10.01 03:55:01,3,NAS100,sell,out,0.99,24 616.4,3,0.00,0.00,- 3.17,9 996.83,,
2025.10.01 04:00:00,4,NAS100,sell,in,0.99,24 603.4,4,0.00,0.00,0.00,9 996.83,TP_Integrated 5_0_0_2,
2025.10.01 05:30:00,5,NAS100,buy,out,0.99,24 613.6,5,0.00,0.00,- 10.10,9 986.73,,
2025.10.01 05:30:00,6,NAS100,buy,in,0.99,24 613.6,6,0.00,0.00,0.00,9 986.73,TP_Integrated 5_0_0_2,
2025.10.01 05:30:01,7,NAS100,sell,out,0.99,24 608.6,7,0.00,0.00,- 4.95,9 981.78,,
2025.10.01 05:35:00,8,NAS100,sell,in,0.99,24 598.2,8,0.00,0.00,0.00,9 981.78,TP_Integrated 5_0_0_2,
2025.10.01 09:47:35,9,NAS100,buy,out,0.99,24 496.3,9,0.00,0.00, 100.88,10 082.66,tp 24498.2,
2025.10.01 12:15:00,10,NAS100,buy,in,1,24 548.4,10,0.00,0.00,0.00,10 082.66,TP_Integrated 5_0_0_2,
2025.10.01 15:15:00,11,NAS100,sell,out,1,24 593.4,11,0.00,0.00, 45.00,10 127.66,,
2025.10.01 15:15:00,12,NAS100,sell,in,1.01,24 593.4,12,0.00,0.00,0.00,10 127.66,TP_Integrated 5_0_0_2,
2025.10.01 15:15:02,13,NAS100,buy,out,1.01,24 598.0,13,0.00,0.00,- 4.65,10 123.01,,
2025.10.01 21:00:00,14,NAS100,buy,in,1.01,24 793.4,14,0.00,0.00,0.00,10 123.01,TP_Integrated 5_0_0_2,
2025.10.02 07:25:02,15,NAS100,sell,out,1.01,24 864.4,15,0.00,- 4.39, 71.71,10 190.33,,
2025.10.02 07:25:03,16,NAS100,sell,in,1.01,24 864.4,16,0.00,0.00,0.00,10 190.33,TP_Integrated 5_0_0_2,
2025.10.02 07:25:03,17,NAS100,buy,out,1.01,24 868.6,17,0.00,0.00,- 4.24,10 186.09,,
2025.10.02 07:45:06,18,NAS100,buy,in,1.01,24 879.0,18,0.00,0.00,0.00,10 186.09,TP_Integrated 5_0_0_2,
2025.10.02 08:30:00,19,NAS100,sell,out,1.01,24 877.9,19,0.00,0.00,- 1.11,10 184.98,,
2025.10.02 08:30:01,20,NAS100,sell,in,1.01,24 877.9,20,0.00,0.00,0.00,10 184.98,TP_Integrated 5_0_0_2,
2025.10.02 08:30:01,21,NAS100,buy,out,1.01,24 882.1,21,0.00,0.00,- 4.24,10 180.74,,
2025.10.02 08:40:00,22,NAS100,buy,in,1.01,24 883.5,22,0.00,0.00,0.00,10 180.74,TP_Integrated 5_0_0_2,
2025.10.02 16:00:37,23,NAS100,sell,out,1.01,24 984.3,23,0.00,0.00, 101.81,10 282.55,tp 24983.5,
2025.10.02 18:55:00,24,NAS100,buy,in,1.02,24 878.8,24,0.00,0.00,0.00,10 282.55,TP_Integrated 5_0_0_2,
2025.10.02 18:55:01,25,NAS100,sell,out,1.02,24 875.1,25,0.00,0.00,- 3.77,10 278.78,,
2025.10.02 19:45:00,26,NAS100,sell,in,1.02,24 862.3,26,0.00,0.00,0.00,10 278.78,TP_Integrated 5_0_0_2,
2025.10.02 19:55:00,27,NAS100,buy,out,1.02,24 893.3,27,0.00,0.00,- 31.62,10 247.16,,
