EAName,EAVersion,RowType,Ticket,Timestamp,OpenTime,CloseTime,Symbol,Type,Lots,Price,OpenPrice,ClosePrice,SL,TP,Entry_Quality,Entry_Confluence,Entry_Momentum,Entry_Speed,Entry_Acceleration,Entry_Entropy,Entry_Jerk,Entry_PhysicsScore,Entry_SpeedSlope,Entry_AccelerationSlope,Entry_MomentumSlope,Entry_ConfluenceSlope,Entry_JerkSlope,Entry_Zone,Entry_Regime,Entry_Spread,ExitReason,Exit_Quality,Exit_Confluence,Exit_Momentum,Exit_Speed,Exit_Acceleration,Exit_Entropy,Exit_Jerk,Exit_PhysicsScore,Exit_SpeedSlope,Exit_AccelerationSlope,Exit_MomentumSlope,Exit_ConfluenceSlope,Exit_JerkSlope,Exit_Zone,Exit_Regime,Exit_Spread,Profit,ProfitPercent,Pips,HoldTimeBars,HoldTimeMinutes,RiskPercent,RRatio,Slippage,Commission,MFE,MAE,MFE_Percent,MAE_Percent,MFE_Pips,MAE_Pips,MFE_TimeBars,MAE_TimeBars,MFEUtilization,MAEImpact,ExcursionEfficiency,RunUp_Price,RunUp_Pips,RunUp_Percent,RunUp_TimeBars,RunDown_Price,RunDown_Pips,RunDown_Percent,RunDown_TimeBars,ExitQualityClass,EarlyExitOpportunityCost,Hour,DayOfWeek,TimeSegment15M,TimeSegment30M,TimeSegment1H,TimeSegment2H,TimeSegment3H,TimeSegment4H,TradingSession,IsWeekend,IsPreMarket,EntryHour,EntryDayOfWeek,ExitHour,ExitDayOfWeek,Balance,Equity,BalanceAfter,EquityAfter,DrawdownPercent,OpenPositions,PhysicsScoreDecay,SpeedDecay,SpeedSlopeDecay,ConfluenceDecay,ZoneTransitioned,SignalTimestamp,SignalTimeDelta,SignalPhysicsPass,SignalRejectReason,DataQualityScore,ValidationFlags,AIEntryConfidence,AIExitPrediction
TP_Integrated_EA,5.0.0.3,ENTRY,2,1970.01.01 00:00,2025.10.01 03:55,1970.01.01 00:00,NAS100,BUY,0.99,24619.6,24619.6,0.0,24519.6,24719.6,81.00,60.00,45.22,1244.29,3399.60,0.00,104.63,89.76,3069.15,-1924.40,28.34,-10.00,-1043.96,BULL,NORMAL,450.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.00,0.00,0,0.0,0.00,0.00,0,,0.00,3,3,03:45-04:00,03:30-04:00,03:00-04:00,02:00-04:00,03:00-06:00,00:00-04:00,London,FALSE,FALSE,3,3,0,0,10000.00,9995.54,0.00,0.00,0.00,1,0.00,0.00,0.00,0.00,FALSE,1970.01.01 00:00,0.00,FALSE,,0.00,,0.00,0.00
TP_Integrated_EA,5.0.0.3,ENTRY,4,1970.01.01 00:00,2025.10.01 04:00,1970.01.01 00:00,NAS100,SELL,0.99,24603.4,24603.4,0.0,24703.4,24503.4,81.00,80.00,-137.91,-1988.80,-2016.79,0.00,-1231.41,16.05,1170.90,-2920.38,18.56,0.00,-1030.25,BEAR,NORMAL,450.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.00,0.00,0,0.0,0.00,0.00,0,,0.00,4,3,04:00-04:15,04:00-04:30,04:00-05:00,04:00-06:00,03:00-06:00,04:00-08:00,London,FALSE,FALSE,4,3,0,0,9996.83,9992.37,0.00,0.00,0.00,1,0.00,0.00,0.00,0.00,FALSE,1970.01.01 00:00,0.00,FALSE,,0.00,,0.00,0.00
TP_Integrated_EA,5.0.0.3,ENTRY,6,1970.01.01 00:00,2025.10.01 05:30,1970.01.01 00:00,NAS100,BUY,0.99,24613.6,24613.6,0.0,24513.6,24713.6,81.00,60.00,28.10,239.30,3507.76,0.00,1041.85,88.74,1049.93,1566.42,39.20,0.00,286.69,BULL,NORMAL,450.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.00,0.00,0,0.0,0.00,0.00,0,,0.00,5,3,05:30-05:45,05:30-06:00,05:00-06:00,04:00-06:00,03:00-06:00,04:00-08:00,London,FALSE,FALSE,5,3,0,0,9986.73,9982.27,0.00,0.00,0.00,1,0.00,0.00,0.00,0.00,FALSE,1970.01.01 00:00,0.00,FALSE,,0.00,,0.00,0.00
TP_Integrated_EA,5.0.0.3,ENTRY,8,1970.01.01 00:00,2025.10.01 05:35,1970.01.01 00:00,NAS100,SELL,0.99,24598.2,24598.2,0.0,24698.2,24498.2,81.00,80.00,-133.67,-2098.34,-725.32,0.00,-230.90,16.05,763.49,-440.68,26.09,0.00,-368.68,BEAR,NORMAL,440.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.00,0.00,0,0.0,0.00,0.00,0,,0.00,5,3,05:30-05:45,05:30-06:00,05:00-06:00,04:00-06:00,03:00-06:00,04:00-08:00,London,FALSE,FALSE,5,3,0,0,9981.78,9977.42,0.00,0.00,0.00,1,0.00,0.00,0.00,0.00,FALSE,1970.01.01 00:00,0.00,FALSE,,0.00,,0.00,0.00
TP_Integrated_EA,5.0.0.3,EXIT,2,1970.01.01 00:00,2025.10.01 03:55,2025.10.01 03:55,NAS100,BUY,0.99,24616.4,24619.6,24616.4,24519.6,24719.6,81.00,60.00,45.22,1244.29,3399.60,0.00,104.63,89.76,3069.15,-1924.40,28.34,-10.00,-1043.96,BULL,NORMAL,45.00,MANUAL,70.33,80.00,-69.42,-955.15,-171.13,0.00,204.21,34.37,-914.86,-238.27,-44.87,10.00,4.47,UNKNOWN,UNKNOWN,390.00,-3.17,-0.03,-3.20,1,0,1.00,-0.03,0.00,0.00,24619.60,24614.90,0.00,-0.05,0.00,-4.70,0,1,-0.01,0.00,0.50,24620.5,4.10,0.02,11,24571.2,-45.20,-0.18,35,Late,0.00,8,3,08:00-08:15,08:00-08:30,08:00-09:00,08:00-10:00,06:00-09:00,08:00-12:00,Overlap,FALSE,FALSE,3,3,3,3,9981.78,9992.77,9996.83,9996.83,0.00,1,55.39,2199.43,3984.01,-20.00,TRUE,1970.01.01 00:00,0.00,FALSE,,100.00,SHORT_DURATION;ZONE_TRANSITION;,0.00,0.00
TP_Integrated_EA,5.0.0.3,EXIT,4,1970.01.01 00:00,2025.10.01 04:00,2025.10.01 05:30,NAS100,SELL,0.99,24613.6,24603.4,24613.6,24703.4,24503.4,81.00,80.00,-137.91,-1988.80,-2016.79,0.00,-1231.41,16.05,1170.90,-2920.38,18.56,0.00,-1030.25,BEAR,NORMAL,45.00,MANUAL,86.33,60.00,-105.68,-6376.18,1690.28,0.00,878.38,56.32,-1950.78,-921.42,-11.49,0.00,-157.33,UNKNOWN,UNKNOWN,400.00,-10.10,-0.10,-10.20,19,90,1.00,-0.10,0.00,0.00,24597.80,24624.90,0.06,-0.22,5.60,-21.50,3,10,-0.04,0.00,0.50,24553.5,60.10,-0.24,49,24613.6,0.00,0.00,0,Good,0.00,9,3,09:30-09:45,09:30-10:00,09:00-10:00,08:00-10:00,09:00-12:00,08:00-12:00,Overlap,FALSE,FALSE,4,3,5,3,9981.78,10018.21,9986.73,9981.78,0.00,1,-40.27,4387.38,3121.69,20.00,TRUE,1970.01.01 00:00,0.00,FALSE,,100.00,ZONE_TRANSITION;,0.00,0.00
TP_Integrated_EA,5.0.0.3,EXIT,6,1970.01.01 00:00,2025.10.01 05:30,2025.10.01 05:30,NAS100,BUY,0.99,24608.6,24613.6,24608.6,24513.6,24713.6,81.00,60.00,28.10,239.30,3507.76,0.00,1041.85,88.74,1049.93,1566.42,39.20,0.00,286.69,BULL,NORMAL,45.00,MANUAL,86.33,60.00,-105.68,-6376.18,1690.28,0.00,878.38,56.32,-1950.78,-921.42,-11.49,0.00,-157.33,UNKNOWN,UNKNOWN,400.00,-4.95,-0.05,-5.00,1,0,1.00,-0.05,0.00,0.00,24613.60,24608.60,0.00,-0.05,0.00,-5.00,0,1,-0.02,0.00,0.50,24608.6,0.00,0.00,0,24553.5,-55.10,-0.22,49,Late,0.00,9,3,09:30-09:45,09:30-10:00,09:00-10:00,08:00-10:00,09:00-12:00,08:00-12:00,Overlap,FALSE,FALSE,5,3,5,3,9981.78,10018.21,9981.78,9981.78,0.00,1,32.42,6615.48,3000.72,0.00,TRUE,1970.01.01 00:00,0.00,FALSE,,100.00,SHORT_DURATION;ZONE_TRANSITION;,0.00,0.00
TP_Integrated_EA,5.0.0.3,ENTRY,10,1970.01.01 00:00,2025.10.01 12:15,1970.01.01 00:00,NAS100,BUY,1.00,24548.4,24548.4,0.0,24448.4,24648.4,81.00,80.00,269.62,7788.70,564.71,0.00,373.74,96.05,56.31,2839.20,-1.55,0.00,998.12,BULL,NORMAL,400.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.00,0.00,0,0.0,0.00,0.00,0,,0.00,12,3,12:15-12:30,12:00-12:30,12:00-13:00,12:00-14:00,12:00-15:00,12:00-16:00,NewYork,FALSE,FALSE,12,3,0,0,10082.66,10078.66,0.00,0.00,0.00,1,0.00,0.00,0.00,0.00,FALSE,1970.01.01 00:00,0.00,FALSE,,0.00,,0.00,0.00
TP_Integrated_EA,5.0.0.3,EXIT,8,1970.01.01 00:00,2025.10.01 05:35,2025.10.01 09:47,NAS100,SELL,0.99,24496.3,24598.2,24496.3,24698.2,24498.2,81.00,80.00,-133.67,-2098.34,-725.32,0.00,-230.90,16.05,763.49,-440.68,26.09,0.00,-368.68,BEAR,NORMAL,44.00,TP,70.33,60.00,-143.09,-4850.89,2132.75,0.00,1064.97,55.52,-983.98,1681.04,11.18,0.00,572.66,UNKNOWN,UNKNOWN,390.00,100.88,1.00,101.90,51,252,1.00,1.00,0.00,0.00,24498.30,24604.40,1.00,-0.06,99.90,-6.20,51,1,0.41,24389.77,0.50,24443.3,53.00,-0.22,3,24574.2,-77.90,0.32,33,Early,-48.90,13,3,13:45-14:00,13:30-14:00,13:00-14:00,12:00-14:00,12:00-15:00,12:00-16:00,NewYork,FALSE,FALSE,5,3,9,3,10082.66,10076.46,10082.66,10082.66,0.00,1,-39.47,2752.55,1747.47,20.00,TRUE,1970.01.01 00:00,0.00,FALSE,,100.00,ZONE_TRANSITION;EARLY_EXIT;,0.00,0.00
TP_Integrated_EA,5.0.0.3,ENTRY,12,1970.01.01 00:00,2025.10.01 15:15,1970.01.01 00:00,NAS100,SELL,1.01,24593.4,24593.4,0.0,24693.4,24493.4,81.00,60.00,-50.46,-104.88,-3619.06,0.00,-444.86,19.78,-2556.76,-961.41,-26.97,0.00,-52.69,BEAR,NORMAL,450.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.00,0.00,0,0.0,0.00,0.00,0,,0.00,15,3,15:15-15:30,15:00-15:30,15:00-16:00,14:00-16:00,15:00-18:00,12:00-16:00,NewYork,FALSE,FALSE,15,3,0,0,10127.66,10123.11,0.00,0.00,0.00,1,0.00,0.00,0.00,0.00,FALSE,1970.01.01 00:00,0.00,FALSE,,0.00,,0.00,0.00
