Metric,v3.0 Baseline,v3.1 Optimized,v3.2 Physics,Change v3.0→v3.2
Total Trades,454,13,5,-449 (-98.9%)
Win Rate,28.0%,61.5%,80.0%,+52.0%
Wins / Losses,127W / 327L,8W / 5L,4W / 1L,-123W / -326L
Profit Factor,0.97,2.30,8.72,+7.75 (+797%)
Net P&L,$-6.97,$41.50,$37.30,$+44.27
Gross Profit,$242.24,$73.46,$42.13,$-200.11
Gross Loss,$249.21,$31.96,$4.83,$-244.38
Avg Win,$1.91,$9.18,$10.53,$+8.63
Avg Loss,$0.76,$6.39,$4.83,$+4.07
R:R Ratio,2.50:1,1.44:1,2.18:1,-0.32
Ending Balance,$989.34,$1032.20,$1026.74,$+37.40
Avg Hold (bars),39.4,1264.1,3622.0,+3582.6
Avg MFE (pips),144.28,897.98,807.18,+662.90
Avg MAE (pips),-83.70,-483.66,-1421.07,-1337.38
