IN_Deal,Report_Source,IN_Trade_ID,IN_MT_MASTER_DATE_TIME,IN_MT_Date,IN_MT_Time,IN_MT_Day,IN_MT_Month,IN_CST_Date_OP_01,IN_CST_Time_OP_01,IN_CST_Day_OP_01,IN_CST_Month_OP_01,IN_Segment_15M_OP_01,IN_Segment_30M_OP_01,IN_Segment_01H_OP_01,IN_Segment_02H_OP_01,IN_Segment_03H_OP_01,IN_Segment_04H_OP_01,IN_Session_Name_OP_02,Strategy_ID_OP_03,Strategy_Version_ID_OP_03,Optimization_ID_OP_03,Report_Broker_OP_03,Symbol_OP_03,Chart_TF_OP_01,IN_Order_Type_OP_01,IN_Order_Direction,Volume_OP_03,IN_Symbol_Price_OP_03,IN_Balance_OP_01,OUT_Profit_OP_01,OUT_Balance_OP_01,OUT_Trade_ID,OUT_Deal,OUT_CST_Date_OP_03,OUT_CST_Time_OP_03,OUT_CST_Day_OP_03,OUT_CST_Month_OP_03,OUT_Segment_15M_OP_03,OUT_Segment_30M_OP_03,OUT_Segment_01H_OP_03,OUT_Segment_02H_OP_03,OUT_Segment_03H_OP_03,OUT_Segment_04H_OP_03,OUT_Session_Name_OP_03,OUT_Order_Type,OUT_Order_Direction,OUT_Symbol_Price_OP_01,OUT_Commission,OUT_Swap,OUT_Comment,OUT_Symbol,Trade_Result,Trade_Direction,Trade_Duration_Minutes,Trade_ROI_Percentage,Trade_Risk_Reward_Ratio,Trade_MAE,Trade_MFE,EA_Entry_Quality,EA_Entry_Symbol,EA_Entry_Confluence,EA_Entry_Momentum,EA_Entry_Speed,EA_Entry_Acceleration,EA_Entry_Entropy,EA_Entry_Jerk,EA_Entry_PhysicsScore,EA_Entry_SpeedSlope,EA_Entry_AccelerationSlope,EA_Entry_MomentumSlope,EA_Entry_ConfluenceSlope,EA_Entry_JerkSlope,EA_Entry_Zone,EA_Entry_Regime,EA_Entry_Spread,EA_ExitReason,EA_Exit_Symbol,EA_Exit_Quality,EA_Exit_Confluence,EA_Exit_Momentum,EA_Exit_Speed,EA_Exit_Acceleration,EA_Exit_Entropy,EA_Exit_Jerk,EA_Exit_PhysicsScore,EA_Exit_SpeedSlope,EA_Exit_AccelerationSlope,EA_Exit_MomentumSlope,EA_Exit_ConfluenceSlope,EA_Exit_JerkSlope,EA_Exit_Zone,EA_Exit_Regime,EA_Exit_Spread,EA_Profit,EA_ProfitPercent,EA_Pips,EA_HoldTimeBars,EA_HoldTimeMinutes,EA_RiskPercent,EA_RRatio,EA_MFE,EA_MAE,EA_MFE_Percent,EA_MAE_Percent,EA_MFE_Pips,EA_MAE_Pips,EA_MFE_TimeBars,EA_MAE_TimeBars,EA_MFEUtilization,EA_MAEImpact,EA_ExcursionEfficiency,EA_RunUp_Price,EA_RunUp_Pips,EA_RunUp_Percent,EA_RunUp_TimeBars,EA_RunDown_Price,EA_RunDown_Pips,EA_RunDown_Percent,EA_RunDown_TimeBars,EA_ExitQualityClass,EA_EarlyExitOpportunityCost,EA_PhysicsScoreDecay,EA_SpeedDecay,EA_SpeedSlopeDecay,EA_ConfluenceDecay,EA_ZoneTransitioned,Signal_Entry_Matched,Signal_Entry_Timestamp,Signal_Entry_TimeDelta,Signal_Entry_Quality,Signal_Entry_Confluence,Signal_Entry_Speed,Signal_Entry_Acceleration,Signal_Entry_Momentum,Signal_Entry_Entropy,Signal_Entry_Jerk,Signal_Entry_PhysicsScore,Signal_Entry_SpeedSlope,Signal_Entry_AccelerationSlope,Signal_Entry_MomentumSlope,Signal_Entry_ConfluenceSlope,Signal_Entry_JerkSlope,Signal_Entry_Zone,Signal_Entry_Regime,Signal_Entry_PhysicsPass,Signal_Entry_RejectReason,Signal_Exit_Matched,Signal_Exit_Timestamp,Signal_Exit_TimeDelta,Signal_Exit_Quality,Signal_Exit_Confluence,Signal_Exit_Speed,Signal_Exit_Acceleration,Signal_Exit_Momentum,Signal_Exit_Entropy,Signal_Exit_Jerk,Signal_Exit_PhysicsScore,Signal_Exit_SpeedSlope,Signal_Exit_AccelerationSlope,Signal_Exit_MomentumSlope,Signal_Exit_ConfluenceSlope,Signal_Exit_JerkSlope,Signal_Exit_Zone,Signal_Exit_Regime,Signal_Exit_PhysicsPass,Signal_Exit_RejectReason,DataQuality,ProcessingTimestamp,SourceFiles
2,MT5_Backtest,2,2025.10.01 03:55:00,2025-10-01,03:55:00,Wednesday,October,2025-09-30,19:55:00,Tuesday,September,15-080,30-040,1h-020,2h-010,3h-007,4h-005,After Hours,TP_Integrated_EA,5.0.0.2_MASTER,,MT5,NAS100,M1,buy,in,0.99,24619.5,10,-15.94,9,3,3,2025-09-30,20:00:00,Tuesday,September,15-081,30-041,1h-021,2h-011,3h-007,4h-006,After Hours,sell,out,24603.4,0,0.0,,NAS100,Loss,Long,5,-159.39999999999998,-0.16,24597.6,24619.5,81.0,NAS100,60,45.22,1244.29,3399.6,0,104.63,89.76,3069.15,-1924.4,28.34,-10,-1043.96,BULL,NORMAL,440,MANUAL,NAS100,67.67,40,-22.55,-212.38,196.15,0,173.53,56.76,-914.86,-238.27,-44.87,0,4.47,UNKNOWN,UNKNOWN,390,-15.94,-0.16,-16.1,2,5,1,-0.16,24619.5,24597.6,0.0,-0.22,0.0,-21.9,0,1,-0.06,0.0,0.5,24620.5,17.1,0.07,10,24571.2,-32.2,-0.13,34,,0.0,33.0,1456.67,3984.01,20,True,True,2025.10.01 03:55,0,81.0,60,1244.29,3399.6,45.22,0,104.63,89.76,3069.15,-1924.4,28.34,-10,-1043.96,BULL,NORMAL,False,PASS,True,2025.10.01 04:00,0.0,81.0,80.0,-1988.8,-2016.79,-137.91,0.0,-1231.41,16.05,1170.9,-2920.38,18.56,0.0,-1030.25,BEAR,NORMAL,0.0,PASS,,2025-11-27T21:39:17.289Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
4,MT5_Backtest,4,2025.10.01 04:00:00,2025-10-01,04:00:00,Wednesday,October,2025-09-30,20:00:00,Tuesday,September,15-081,30-041,1h-021,2h-011,3h-007,4h-006,After Hours,TP_Integrated_EA,5.0.0.2_MASTER,,MT5,NAS100,M1,sell,in,0.99,24603.4,9,-10.0,9,5,5,2025-09-30,21:30:00,Tuesday,September,15-087,30-044,1h-022,2h-011,3h-008,4h-006,After Hours,buy,out,24613.5,0,0.0,,NAS100,Loss,Short,90,-111.11111111111111,-0.1,24624.9,24597.8,81.0,NAS100,80,-137.91,-1988.8,-2016.79,0,-1231.41,16.05,1170.9,-2920.38,18.56,0,-1030.25,BEAR,NORMAL,440,MANUAL,NAS100,86.33,60,-105.68,-6376.18,1690.28,0,878.38,56.32,-1950.78,-921.42,-11.49,0,-157.33,UNKNOWN,UNKNOWN,390,-10.0,-0.1,-10.1,19,90,1,-0.1,24597.8,24624.9,0.06,-0.22,5.6,-21.5,3,10,-0.04,0.0,0.5,24553.5,60.0,-0.24,49,24613.5,0.0,0.0,0,,0.0,-40.27,4387.38,3121.69,20,True,True,2025.10.01 04:00,0,81.0,80,-1988.8,-2016.79,-137.91,0,-1231.41,16.05,1170.9,-2920.38,18.56,0,-1030.25,BEAR,NORMAL,False,PASS,True,2025.10.01 05:30,0.0,81.0,60.0,239.3,3507.76,28.1,0.0,1041.85,88.74,1049.93,1566.42,39.2,0.0,286.69,BULL,NORMAL,0.0,PASS,,2025-11-27T21:39:17.290Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
6,MT5_Backtest,6,2025.10.01 05:30:00,2025-10-01,05:30:00,Wednesday,October,2025-09-30,21:30:00,Tuesday,September,15-087,30-044,1h-022,2h-011,3h-008,4h-006,After Hours,TP_Integrated_EA,5.0.0.2_MASTER,,MT5,NAS100,M1,buy,in,0.99,24613.5,9,-15.15,9,7,7,2025-09-30,21:35:00,Tuesday,September,15-087,30-044,1h-022,2h-011,3h-008,4h-006,After Hours,sell,out,24598.2,0,0.0,,NAS100,Loss,Long,5,-168.33333333333334,-0.15,24594.4,24613.5,81.0,NAS100,60,28.1,239.3,3507.76,0,1041.85,88.74,1049.93,1566.42,39.2,0,286.69,BULL,NORMAL,440,MANUAL,NAS100,83.67,60,-77.49,-5933.78,1397.31,0,602.21,57.53,-1091.35,1322.21,16.32,-10,528.66,UNKNOWN,UNKNOWN,390,-15.15,-0.15,-15.3,2,5,1,-0.15,24613.5,24594.4,0.0,-0.19,0.0,-19.1,0,1,-0.06,0.0,0.5,24599.9,1.7,0.01,1,24553.5,-44.7,-0.18,48,,0.0,31.2,6173.09,2141.28,0,True,True,2025.10.01 05:30,0,81.0,60,239.3,3507.76,28.1,0,1041.85,88.74,1049.93,1566.42,39.2,0,286.69,BULL,NORMAL,False,PASS,True,2025.10.01 05:35,0.0,81.0,80.0,-2098.34,-725.32,-133.67,0.0,-230.9,16.05,763.49,-440.68,26.09,0.0,-368.68,BEAR,NORMAL,0.0,PASS,,2025-11-27T21:39:17.291Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
12,MT5_Backtest,12,2025.10.01 15:15:00,2025-10-01,15:15:00,Wednesday,October,2025-10-01,07:15:00,Wednesday,October,15-030,30-015,1h-008,2h-004,3h-003,4h-002,After Hours,TP_Integrated_EA,5.0.0.2_MASTER,,MT5,NAS100,M1,sell,in,1.01,24593.4,10,-101.0,10,13,13,2025-10-01,09:22:20,Wednesday,October,15-038,30-019,1h-010,2h-005,3h-004,4h-003,Floor Session,buy,out,24693.4,0,0.0,sl 24693.4,NAS100,Loss,Short,127,-1010.0,-1.01,24691.1,24536.1,81.0,NAS100,60,-50.46,-104.88,-3619.06,0,-444.86,19.78,-2556.76,-961.41,-26.97,0,-52.69,BEAR,NORMAL,390,SL,NAS100,78.33,60,201.05,9393.97,-3248.27,0,-1402.2,49.92,2163.12,-1887.92,50.47,0,-854.32,UNKNOWN,UNKNOWN,340,-101.0,-1.01,-100.0,26,127,1,-1.01,24536.1,24691.1,0.57,-0.98,57.3,-97.7,20,26,-0.41,0.0,0.5,24670.4,23.0,-0.09,1,24829.2,-135.8,0.55,49,,0.0,-30.13,-9498.85,-4719.88,0,True,True,2025.10.01 15:15,0,81.0,60,-104.88,-3619.06,-50.46,0,-444.86,19.78,-2556.76,-961.41,-26.97,0,-52.69,BEAR,NORMAL,False,PASS,False,,,,,,,,,,,,,,,,,,,,,2025-11-27T21:39:17.293Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
16,MT5_Backtest,16,2025.10.02 07:25:00,2025-10-02,07:25:00,Thursday,October,2025-10-01,23:25:00,Wednesday,October,15-094,30-047,1h-024,2h-012,3h-008,4h-006,After Hours,TP_Integrated_EA,5.0.0.2_MASTER,,MT5,NAS100,M1,sell,in,1.0,24864.4,10,-14.6,10,17,17,2025-10-01,23:45:00,Wednesday,October,15-096,30-048,1h-024,2h-012,3h-008,4h-006,After Hours,buy,out,24879.0,0,0.0,,NAS100,Loss,Short,20,-146.0,-0.15,24879.0,24864.4,81.0,NAS100,60,-21.58,-2157.78,-6684.57,0,-1699.03,17.76,-2326.24,-2507.67,-36.93,-10,-440.7,BEAR,NORMAL,440,MANUAL,NAS100,75.67,60,90.4,701.47,-665.24,0,313.39,64.21,-1789.68,-1130.3,-69.82,-10,-183.31,UNKNOWN,UNKNOWN,390,-14.6,-0.15,-14.6,5,20,1,-0.15,24864.4,24879.0,0.0,-0.15,0.0,-14.6,0,4,-0.06,0.0,0.5,24864.8,14.2,-0.06,28,24923.8,-44.8,0.18,44,,0.0,-46.45,-2859.25,-536.55,0,True,True,2025.10.02 07:25,0,81.0,60,-2157.78,-6684.57,-21.58,0,-1699.03,17.76,-2326.24,-2507.67,-36.93,-10,-440.7,BEAR,NORMAL,False,PASS,True,2025.10.02 07:45,0.0,86.33,80.0,271.75,413.07,46.82,0.0,143.43,93.13,958.16,2583.17,26.87,-20.0,683.39,BULL,NORMAL,0.0,PASS,,2025-11-27T21:39:17.295Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
18,MT5_Backtest,18,2025.10.02 07:45:00,2025-10-02,07:45:00,Thursday,October,2025-10-01,23:45:00,Wednesday,October,15-096,30-048,1h-024,2h-012,3h-008,4h-006,After Hours,TP_Integrated_EA,5.0.0.2_MASTER,,MT5,NAS100,M1,buy,in,1.0,24879.0,10,-1.1,10,19,19,2025-10-02,00:30:00,Thursday,October,15-003,30-002,1h-001,2h-001,3h-001,4h-001,After Hours,sell,out,24877.9,0,0.0,,NAS100,Loss,Long,45,-11.000000000000002,-0.01,24871.8,24886.9,86.33,NAS100,80,46.82,271.75,413.07,0,143.43,93.13,958.16,2583.17,26.87,-20,683.39,BULL,NORMAL,440,MANUAL,NAS100,62.33,60,-179.8,-5125.96,-3621.79,0,-600.36,12.12,-487.61,-808.6,-39.89,-10,-299.01,UNKNOWN,UNKNOWN,390,-1.1,-0.01,-1.1,10,45,1,-0.01,24886.9,24871.8,0.08,-0.07,7.9,-7.2,6,2,0.0,0.0,0.5,24928.1,50.2,0.2,46,24864.8,-13.1,-0.05,19,,0.0,81.01,5397.72,1445.77,20,True,True,2025.10.02 07:45,0,86.33,80,271.75,413.07,46.82,0,143.43,93.13,958.16,2583.17,26.87,-20,683.39,BULL,NORMAL,False,PASS,True,2025.10.02 08:30,0.0,86.33,60.0,-482.13,-1072.37,-26.65,0.0,-24.54,23.38,-1440.66,-391.39,-26.53,10.0,67.15,BEAR,NORMAL,0.0,PASS,,2025-11-27T21:39:17.296Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
20,MT5_Backtest,20,2025.10.02 08:30:00,2025-10-02,08:30:00,Thursday,October,2025-10-02,00:30:00,Thursday,October,15-003,30-002,1h-001,2h-001,3h-001,4h-001,After Hours,TP_Integrated_EA,5.0.0.2_MASTER,,MT5,NAS100,M1,sell,in,1.0,24877.9,10,-5.6,10,21,21,2025-10-02,00:40:00,Thursday,October,15-003,30-002,1h-001,2h-001,3h-001,4h-001,After Hours,buy,out,24883.5,0,0.0,,NAS100,Loss,Short,10,-55.99999999999999,-0.06,24887.2,24877.9,86.33,NAS100,60,-26.65,-482.13,-1072.37,0,-24.54,23.38,-1440.66,-391.39,-26.53,10,67.15,BEAR,NORMAL,390,MANUAL,NAS100,65.0,60,-163.71,-6579.19,1272.4,0,1032.62,55.25,-2873.88,-1678.79,-92.05,0,-304.54,UNKNOWN,UNKNOWN,390,-5.6,-0.06,-5.6,3,10,1,-0.06,24877.9,24887.2,0.0,-0.09,0.0,-9.3,0,2,-0.02,0.0,0.5,24864.8,18.7,-0.08,17,24928.1,-44.6,0.18,44,,0.0,-31.87,6097.06,1433.22,0,True,True,2025.10.02 08:30,0,86.33,60,-482.13,-1072.37,-26.65,0,-24.54,23.38,-1440.66,-391.39,-26.53,10,67.15,BEAR,NORMAL,False,PASS,True,2025.10.02 08:40,0.0,81.0,60.0,384.39,769.99,32.21,0.0,392.11,88.98,-165.51,943.68,-55.83,-10.0,300.65,BULL,NORMAL,0.0,PASS,,2025-11-27T21:39:17.297Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
24,MT5_Backtest,24,2025.10.02 18:55:00,2025-10-02,18:55:00,Thursday,October,2025-10-02,10:55:00,Thursday,October,15-044,30-022,1h-011,2h-006,3h-004,4h-003,Floor Session,TP_Integrated_EA,5.0.0.2_MASTER,,MT5,NAS100,M1,buy,in,1.01,24878.7,10,-16.56,10,25,25,2025-10-02,11:45:00,Thursday,October,15-048,30-024,1h-012,2h-006,3h-004,4h-003,Floor Session,sell,out,24862.3,0,0.0,,NAS100,Loss,Long,50,-165.6,-0.16,24844.8,24893.8,86.33,NAS100,80,377.46,5116.1,5864.92,0,1233.62,96.32,1677.36,4095.18,318.38,0,1319.27,BULL,HIGH,340,MANUAL,NAS100,89.0,60,-173.11,-3985.89,1447.06,0,767.57,56.45,-1307.71,701.55,-54.74,-10,351.41,UNKNOWN,UNKNOWN,340,-16.56,-0.16,-16.4,11,50,1,-0.16,24893.8,24844.8,0.15,-0.34,15.1,-33.9,1,10,-0.07,0.0,0.5,24936.3,74.0,0.3,34,24859.1,-3.2,-0.01,1,,0.0,39.87,9101.99,2985.07,20,True,True,2025.10.02 18:55,0,86.33,80,5116.1,5864.92,377.46,0,1233.62,96.32,1677.36,4095.18,318.38,0,1319.27,BULL,HIGH,False,PASS,True,2025.10.02 19:45,0.0,78.33,80.0,-1624.5,-1815.99,-291.1,0.0,-144.84,15.92,-1225.12,-1023.92,-172.54,10.0,-290.97,BEAR,NORMAL,0.0,PASS,,2025-11-27T21:39:17.298Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
26,MT5_Backtest,26,2025.10.02 19:45:00,2025-10-02,19:45:00,Thursday,October,2025-10-02,11:45:00,Thursday,October,15-048,30-024,1h-012,2h-006,3h-004,4h-003,Floor Session,TP_Integrated_EA,5.0.0.2_MASTER,,MT5,NAS100,M1,sell,in,1.01,24862.3,10,-31.21,10,27,27,2025-10-02,11:55:00,Thursday,October,15-048,30-024,1h-012,2h-006,3h-004,4h-003,Floor Session,buy,out,24893.2,0,0.0,,NAS100,Loss,Short,10,-312.1,-0.31,24893.7,24862.3,78.33,NAS100,80,-291.1,-1624.5,-1815.99,0,-144.84,15.92,-1225.12,-1023.92,-172.54,10,-290.97,BEAR,NORMAL,340,MANUAL,NAS100,81.0,100,-183.7,-1899.23,-574.46,0,-357.79,19.05,1700.33,1710.64,60.03,0,300.81,UNKNOWN,UNKNOWN,340,-31.21,-0.31,-30.9,3,10,1,-0.31,24862.3,24893.7,0.0,-0.31,0.0,-31.4,0,2,-0.13,0.0,0.5,24868.6,24.6,-0.1,2,24936.3,-43.1,0.17,32,,0.0,-3.13,274.73,-2925.45,-20,True,True,2025.10.02 19:45,0,78.33,80,-1624.5,-1815.99,-291.1,0,-144.84,15.92,-1225.12,-1023.92,-172.54,10,-290.97,BEAR,NORMAL,False,PASS,True,2025.10.02 19:55,0.0,75.67,80.0,1977.22,2806.34,191.14,0.0,879.79,95.78,298.6,2338.94,43.0,0.0,728.35,BULL,NORMAL,0.0,PASS,,2025-11-27T21:39:17.298Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
30,MT5_Backtest,30,2025.10.02 21:00:00,2025-10-02,21:00:00,Thursday,October,2025-10-02,13:00:00,Thursday,October,15-053,30-027,1h-014,2h-007,3h-005,4h-004,Floor Session,TP_Integrated_EA,5.0.0.2_MASTER,,MT5,NAS100,M1,sell,in,1.01,24894.3,10,-40.6,10,31,31,2025-10-02,15:10:00,Thursday,October,15-061,30-031,1h-016,2h-008,3h-006,4h-004,Closing Bell,buy,out,24934.5,0,0.0,,NAS100,Loss,Short,130,-406.00000000000006,-0.4,24939.7,24892.2,75.67,NAS100,60,-59.63,-150.22,-3218.95,0,-659.27,15.21,-1106.35,-442.05,-43.19,0,-15.77,BEAR,NORMAL,340,MANUAL,NAS100,83.67,80,-57.51,-444.2,-715.29,0,520.47,33.73,-2425.53,309.03,-31.2,-10,437.83,UNKNOWN,UNKNOWN,440,-40.6,-0.4,-40.2,27,130,1,-0.4,24892.2,24939.7,0.02,-0.45,2.1,-45.4,1,19,-0.16,0.0,0.5,24883.6,50.9,-0.2,18,24967.2,-32.7,0.13,46,,0.0,-18.53,293.98,1319.17,-20,True,True,2025.10.02 21:00,0,75.67,60,-150.22,-3218.95,-59.63,0,-659.27,15.21,-1106.35,-442.05,-43.19,0,-15.77,BEAR,NORMAL,False,PASS,True,2025.10.02 23:10,0.0,75.67,80.0,2414.4,3436.97,149.79,0.0,869.99,95.78,1159.93,291.25,91.08,0.0,-136.32,BULL,LOW,0.0,PASS,,2025-11-27T21:39:17.299Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
