IN_Deal,Report_Source,IN_Trade_ID,IN_MT_MASTER_DATE_TIME,IN_MT_Date,IN_MT_Time,IN_MT_Day,IN_MT_Month,IN_CST_Date_OP_01,IN_CST_Time_OP_01,IN_CST_Day_OP_01,IN_CST_Month_OP_01,IN_Segment_15M_OP_01,IN_Segment_30M_OP_01,IN_Segment_01H_OP_01,IN_Segment_02H_OP_01,IN_Segment_03H_OP_01,IN_Segment_04H_OP_01,IN_Session_Name_OP_02,Strategy_ID_OP_03,Strategy_Version_ID_OP_03,Optimization_ID_OP_03,Report_Broker_OP_03,Symbol_OP_03,Chart_TF_OP_01,IN_Order_Type_OP_01,IN_Order_Direction,Volume_OP_03,IN_Symbol_Price_OP_03,IN_Balance_OP_01,OUT_Profit_OP_01,OUT_Balance_OP_01,OUT_Trade_ID,OUT_Deal,OUT_CST_Date_OP_03,OUT_CST_Time_OP_03,OUT_CST_Day_OP_03,OUT_CST_Month_OP_03,OUT_Segment_15M_OP_03,OUT_Segment_30M_OP_03,OUT_Segment_01H_OP_03,OUT_Segment_02H_OP_03,OUT_Segment_03H_OP_03,OUT_Segment_04H_OP_03,OUT_Session_Name_OP_03,OUT_Order_Type,OUT_Order_Direction,OUT_Symbol_Price_OP_01,OUT_Commission,OUT_Swap,Trade_Result,Trade_Direction,Trade_Duration_Minutes,Trade_ROI_Percentage,Trade_Risk_Reward_Ratio,Trade_MAE,Trade_MFE,EA_Entry_Quality,EA_Entry_Confluence,EA_Entry_Momentum,EA_Entry_Speed,EA_Entry_Acceleration,EA_Entry_Entropy,EA_Entry_Jerk,EA_Entry_PhysicsScore,EA_Entry_SpeedSlope,EA_Entry_AccelerationSlope,EA_Entry_MomentumSlope,EA_Entry_ConfluenceSlope,EA_Entry_JerkSlope,EA_Entry_Zone,EA_Entry_Regime,EA_Entry_Spread,EA_ExitReason,EA_Exit_Quality,EA_Exit_Confluence,EA_Exit_Momentum,EA_Exit_Speed,EA_Exit_Acceleration,EA_Exit_Entropy,EA_Exit_Jerk,EA_Exit_PhysicsScore,EA_Exit_SpeedSlope,EA_Exit_AccelerationSlope,EA_Exit_MomentumSlope,EA_Exit_ConfluenceSlope,EA_Exit_JerkSlope,EA_Exit_Zone,EA_Exit_Regime,EA_Exit_Spread,EA_Profit,EA_ProfitPercent,EA_Pips,EA_HoldTimeBars,EA_HoldTimeMinutes,EA_RiskPercent,EA_RRatio,EA_MFE,EA_MAE,EA_MFE_Percent,EA_MAE_Percent,EA_MFE_Pips,EA_MAE_Pips,EA_MFE_TimeBars,EA_MAE_TimeBars,EA_MFEUtilization,EA_MAEImpact,EA_ExcursionEfficiency,EA_RunUp_Price,EA_RunUp_Pips,EA_RunUp_Percent,EA_RunUp_TimeBars,EA_RunDown_Price,EA_RunDown_Pips,EA_RunDown_Percent,EA_RunDown_TimeBars,EA_ExitQualityClass,EA_EarlyExitOpportunityCost,EA_PhysicsScoreDecay,EA_SpeedDecay,EA_SpeedSlopeDecay,EA_ConfluenceDecay,EA_ZoneTransitioned,Signal_Entry_Matched,Signal_Entry_Timestamp,Signal_Entry_TimeDelta,Signal_Entry_Quality,Signal_Entry_Confluence,Signal_Entry_Speed,Signal_Entry_Acceleration,Signal_Entry_Momentum,Signal_Entry_Entropy,Signal_Entry_Jerk,Signal_Entry_PhysicsScore,Signal_Entry_SpeedSlope,Signal_Entry_AccelerationSlope,Signal_Entry_MomentumSlope,Signal_Entry_ConfluenceSlope,Signal_Entry_JerkSlope,Signal_Entry_Zone,Signal_Entry_Regime,Signal_Entry_PhysicsPass,Signal_Entry_RejectReason,Signal_Exit_Matched,Signal_Exit_Timestamp,Signal_Exit_TimeDelta,Signal_Exit_Quality,Signal_Exit_Confluence,Signal_Exit_Speed,Signal_Exit_Acceleration,Signal_Exit_Momentum,Signal_Exit_Entropy,Signal_Exit_Jerk,Signal_Exit_PhysicsScore,Signal_Exit_SpeedSlope,Signal_Exit_AccelerationSlope,Signal_Exit_MomentumSlope,Signal_Exit_ConfluenceSlope,Signal_Exit_JerkSlope,Signal_Exit_Zone,Signal_Exit_Regime,Signal_Exit_PhysicsPass,Signal_Exit_RejectReason,DataQuality,ProcessingTimestamp,SourceFiles
2,MT5_Backtest,2,2025.11.17 01:09:00,2025-11-17,01:09:00,Monday,November,2025-11-16,17:09:00,Sunday,November,15-069,30-035,1h-018,2h-009,3h-006,4h-005,After Hours,TP_Integrated_EA,4.2.0.0_SLOPE,,MT5,NAS100,M1,buy,in,3.74,25,500,60.21,560.21,3,3,2025-11-16,17:12:31,Sunday,November,15-069,30-035,1h-018,2h-009,3h-006,4h-005,After Hours,sell,out,25,0,0,Win,Long,3,12.042,0.36,25006.5,25049.8,86.33,80,94.45,4902.34,8739.37,0,488.16,95.98,8518.2,2719.16,29.43,0,115.81,BULL,NORMAL,0,TP,0,0,10.3,-32,2262.52,0,986.5,66.23,-2352.03,2587.5,-117.97,0,1273.46,UNKNOWN,UNKNOWN,0,60.21,10.75,16.1,4,3,30,0.36,25049.8,25006.5,0.14,-0.29,14.4,-28.9,4,2,0.24,41532.14,0.5,25137.7,86.2,0.34,43,25040.5,-11,-0.04,4,Early,70.1,29.75,4934.34,10870.22,80,1,1,2025.11.17 01:09,0,86.33,80,4902.34,8739.37,94.45,0,488.16,95.98,8518.2,2719.16,29.43,0,115.81,BULL,NORMAL,,PASS,1,2025.11.17 01:11,1.5166666666666666,89,100,5507.43,939.98,349.5,0,-1310.89,84.45,1267.92,-4828.99,151.2,0,-1359.21,BULL,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION"",""EARLY_EXIT""]}",2025-11-22T23:52:51.491Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
4,MT5_Backtest,4,2025.11.17 01:13:00,2025-11-17,01:13:00,Monday,November,2025-11-16,17:13:00,Sunday,November,15-069,30-035,1h-018,2h-009,3h-006,4h-005,After Hours,TP_Integrated_EA,4.2.0.0_SLOPE,,MT5,NAS100,M1,buy,in,4.2,25,560.21,65.52,625.73,5,5,2025-11-16,17:16:01,Sunday,November,15-070,30-035,1h-018,2h-009,3h-006,4h-005,After Hours,sell,out,25,0,0,Win,Long,3,11.695614144695737,0.35,25040.5,25059.9,89,100,359.09,7152.36,1366.76,0,-533.29,84.45,-131.61,-2508.84,-99.47,0,-453.81,BULL,NORMAL,0,TP,0,0,99.25,1386.16,-1182.71,0,-467.08,52.87,1685.41,1512.69,46.35,0,336.65,UNKNOWN,UNKNOWN,0,65.52,10.47,15.6,4,3,30,0.35,25059.9,25040.5,0.14,-0.06,13.6,-5.8,4,3,0.26,38218.1,0.5,25137.7,75.8,0.3,39,25057.5,-4.4,-0.02,1,Early,60.2,31.58,5766.2,-1817.01,100,1,1,2025.11.17 01:13,0,89,100,7152.36,1366.76,359.09,0,-533.29,84.45,-131.61,-2508.84,-99.47,0,-453.81,BULL,NORMAL,,PASS,1,2025.11.17 01:13,3.0166666666666666,89,100,7152.36,1366.76,359.09,0,-533.29,84.45,-131.61,-2508.84,-99.47,0,-453.81,BULL,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION"",""EARLY_EXIT""]}",2025-11-22T23:52:51.492Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
6,MT5_Backtest,6,2025.11.17 01:18:00,2025-11-17,01:18:00,Monday,November,2025-11-16,17:18:00,Sunday,November,15-070,30-035,1h-018,2h-009,3h-006,4h-005,After Hours,TP_Integrated_EA,4.2.0.0_SLOPE,,MT5,NAS100,M1,buy,in,4.69,25,625.73,71.29,697.02,7,7,2025-11-16,17:21:37,Sunday,November,15-070,30-035,1h-018,2h-009,3h-006,4h-005,After Hours,sell,out,25,0,0,Win,Long,3,11.393092867530724,0.34,25068.3,25090,83.67,100,804.75,8320.75,1382.49,0,148.36,99.18,593.31,217.41,196.85,0,79.03,BULL,HIGH,0,TP,0,0,-262.25,-12210,-883.37,0,858.42,31.18,-4131.09,-1287.47,-68.35,0,-26.93,UNKNOWN,UNKNOWN,0,71.29,10.23,15.2,4,3,30,0.34,25090,25068.3,0.14,-0.07,14.4,-7.3,4,1,0.28,35163.84,0.5,25137.7,46.9,0.19,34,25078.7,-12.1,-0.05,9,Early,31.7,68,20530.76,4724.4,100,1,1,2025.11.17 01:18,0,83.67,100,8320.75,1382.49,804.75,0,148.36,99.18,593.31,217.41,196.85,0,79.03,BULL,HIGH,,PASS,1,2025.11.17 01:18,3.6166666666666667,83.67,100,8320.75,1382.49,804.75,0,148.36,99.18,593.31,217.41,196.85,0,79.03,BULL,HIGH,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION"",""EARLY_EXIT""]}",2025-11-22T23:52:51.492Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
8,MT5_Backtest,8,2025.11.17 01:22:00,2025-11-17,01:22:00,Monday,November,2025-11-16,17:22:00,Sunday,November,15-070,30-035,1h-018,2h-009,3h-006,4h-005,After Hours,TP_Integrated_EA,4.2.0.0_SLOPE,,MT5,NAS100,M1,buy,in,5.22,25,697.02,78.3,775.32,9,9,2025-11-16,17:32:47,Sunday,November,15-071,30-036,1h-018,2h-009,3h-006,4h-005,After Hours,sell,out,25,0,0,Win,Long,10,11.233537057760179,0.34,25078.7,25109.2,91.67,100,460.18,9610.46,20.9,0,-173.16,72.05,-131.72,-203.94,-251.25,0,51.16,BULL,NORMAL,0,TP,0,0,-108.99,-411.64,347.63,0,-498.49,40.78,1883.5,3907.1,74.31,0,1265.38,UNKNOWN,UNKNOWN,0,78.3,10.1,15,11,10,30,0.34,25109.2,25078.7,0.14,-0.16,14.5,-16,11,8,0.31,32028.99,0.5,25137.7,28,0.11,23,25065.5,-44.2,-0.18,45,Early,13,31.26,10022.11,-2015.23,100,1,1,2025.11.17 01:22,0,91.67,100,9610.46,20.9,460.18,0,-173.16,72.05,-131.72,-203.94,-251.25,0,51.16,BULL,NORMAL,,PASS,1,2025.11.17 01:27,5.783333333333333,83.67,100,4979.16,1228.2,192.8,0,712.69,99.18,-823.58,793.95,-42.32,0,317.72,BULL,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION"",""EARLY_EXIT""]}",2025-11-22T23:52:51.493Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
10,MT5_Backtest,10,2025.11.17 02:07:00,2025-11-17,02:07:00,Monday,November,2025-11-16,18:07:00,Sunday,November,15-073,30-037,1h-019,2h-010,3h-007,4h-005,After Hours,TP_Integrated_EA,4.2.0.0_SLOPE,,MT5,NAS100,M1,sell,in,5.81,25,775.32,90.06,865.38,11,11,2025-11-16,18:08:48,Sunday,November,15-073,30-037,1h-019,2h-010,3h-007,4h-005,After Hours,buy,out,25,0,0,Win,Short,1,11.6158489397926,0.35,25118.8,25100.2,81,80,-116.65,-3384.87,-4074.31,0,-909.28,16.05,-1708.92,-809.75,-132.86,0,-45.94,BEAR,NORMAL,0,TP,0,0,-93.18,-262.09,-268.36,0,48.89,27.63,214,2134.33,84.8,0,729.48,UNKNOWN,UNKNOWN,0,90.06,10.41,15.5,2,1,30,0.35,25100.2,25118.8,0.14,-0.04,14.3,-4.3,2,1,0.36,27891.18,0.5,25062.9,36.1,-0.14,15,25192.7,-93.7,0.37,42,Early,20.6,-11.58,-3122.79,-1922.92,80,1,1,2025.11.17 02:07,0,81,80,-3384.87,-4074.31,-116.65,0,-909.28,16.05,-1708.92,-809.75,-132.86,0,-45.94,BEAR,NORMAL,,PASS,1,2025.11.17 02:07,1.8,81,80,-3384.87,-4074.31,-116.65,0,-909.28,16.05,-1708.92,-809.75,-132.86,0,-45.94,BEAR,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION"",""EARLY_EXIT""]}",2025-11-22T23:52:51.493Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
12,MT5_Backtest,12,2025.11.17 02:17:00,2025-11-17,02:17:00,Monday,November,2025-11-16,18:17:00,Sunday,November,15-074,30-037,1h-019,2h-010,3h-007,4h-005,After Hours,TP_Integrated_EA,4.2.0.0_SLOPE,,MT5,NAS100,M1,sell,in,6.49,25,865.38,-264.14,601.24,13,13,2025-11-16,18:28:22,Sunday,November,15-074,30-037,1h-019,2h-010,3h-007,4h-005,After Hours,buy,out,25,0,0,Loss,Short,11,-30.523007233816358,-1.46,25113.5,25065,81,80,-303.34,-7032.7,-828.3,0,-289.59,16.05,-194.28,3395.86,-70.88,0,1435.81,BEAR,NORMAL,0,SL,0,0,108.77,5968.22,-2613.89,0,-1029.36,53.18,1364.65,2364.59,51.26,0,926.33,UNKNOWN,UNKNOWN,0,-264.14,-43.93,-40.7,12,11,30,-1.46,25065,25113.5,0.09,-0.4,9,-39.5,6,12,-1.05,0,0.5,25112.2,2.5,-0.01,1,25201.2,-86.5,0.34,49,Late,0,-37.13,-13000.92,-1558.93,80,1,1,2025.11.17 02:17,0,81,80,-7032.7,-828.3,-303.34,0,-289.59,16.05,-194.28,3395.86,-70.88,0,1435.81,BEAR,NORMAL,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-22T23:52:51.494Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
14,MT5_Backtest,14,2025.11.17 02:33:00,2025-11-17,02:33:00,Monday,November,2025-11-16,18:33:00,Sunday,November,15-075,30-038,1h-019,2h-010,3h-007,4h-005,After Hours,TP_Integrated_EA,4.2.0.0_SLOPE,,MT5,NAS100,M1,buy,in,4.5,25,601.24,70.65,671.89,15,15,2025-11-16,18:35:42,Sunday,November,15-075,30-038,1h-019,2h-010,3h-007,4h-005,After Hours,sell,out,25,0,0,Win,Long,2,11.750715188610206,0.35,25161.8,25187,81,100,437.73,20841.07,390.49,0,-912.93,84.05,476.1,-2244.04,15.95,0,-441.09,BULL,NORMAL,0,TP,0,0,34.67,588.71,-893.14,0,25.47,55.01,-359.55,-108.66,-5.28,0,-97.75,UNKNOWN,UNKNOWN,0,70.65,10.52,15.7,3,2,30,0.35,25187,25161.8,0.14,-0.11,14.4,-10.8,3,1,0.28,35614.72,0.5,25204.4,16.1,0.06,48,25155,-33.3,-0.13,30,Early,0.4,29.04,20252.37,835.66,100,1,1,2025.11.17 02:33,0,81,100,20841.07,390.49,437.73,0,-912.93,84.05,476.1,-2244.04,15.95,0,-441.09,BULL,NORMAL,,PASS,1,2025.11.17 02:33,2.7,81,100,20841.07,390.49,437.73,0,-912.93,84.05,476.1,-2244.04,15.95,0,-441.09,BULL,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION"",""EARLY_EXIT""]}",2025-11-22T23:52:51.494Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
16,MT5_Backtest,16,2025.11.17 02:55:00,2025-11-17,02:55:00,Monday,November,2025-11-16,18:55:00,Sunday,November,15-076,30-038,1h-019,2h-010,3h-007,4h-005,After Hours,TP_Integrated_EA,4.2.0.0_SLOPE,,MT5,NAS100,M1,sell,in,5.03,25,671.89,-31.69,640.2,17,17,2025-11-16,18:56:00,Sunday,November,15-076,30-038,1h-019,2h-010,3h-007,4h-005,After Hours,buy,out,25,0,0,Loss,Short,1,-4.716545863162125,-0.17,25187.8,25178.1,81,80,-82.75,-338.52,-476.53,0,80.4,30.61,-1173.31,-525.51,-77.24,0,-42.66,BEAR,NORMAL,0,MANUAL,0,0,-179.55,-5154.88,-232.29,0,330.5,31.58,-1968.22,-2904.6,-51.22,0,-881.14,UNKNOWN,UNKNOWN,0,-31.69,-4.95,-6.3,2,1,30,-0.17,25178.1,25187.8,0.03,-0.06,3.4,-6.3,1,2,-0.13,0,0.5,25155,32.8,-0.13,9,25204.4,-16.6,0.07,27,Late,0,-0.97,4816.36,794.9,80,1,1,2025.11.17 02:55,0,81,80,-338.52,-476.53,-82.75,0,80.4,30.61,-1173.31,-525.51,-77.24,0,-42.66,BEAR,NORMAL,,PASS,1,2025.11.17 02:55,1,81,80,-338.52,-476.53,-82.75,0,80.4,30.61,-1173.31,-525.51,-77.24,0,-42.66,BEAR,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-22T23:52:51.495Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
18,MT5_Backtest,18,2025.11.17 02:56:00,2025-11-17,02:56:00,Monday,November,2025-11-16,18:56:00,Sunday,November,15-076,30-038,1h-019,2h-010,3h-007,4h-005,After Hours,TP_Integrated_EA,4.2.0.0_SLOPE,,MT5,NAS100,M1,buy,in,4.8,25,640.2,-19.68,620.52,19,19,2025-11-16,18:57:00,Sunday,November,15-076,30-038,1h-019,2h-010,3h-007,4h-005,After Hours,sell,out,25,0,0,Loss,Long,1,-3.0740393626991565,-0.11,25182.5,25187.8,81,100,133.28,385.73,308.48,0,215.94,99.05,214,2134.33,84.8,0,729.48,BULL,NORMAL,0,MANUAL,0,0,-161.44,-5667.02,-1098.79,0,-36.87,21.32,-1090.36,1350.55,-34.65,0,586.37,UNKNOWN,UNKNOWN,0,-19.68,-3.17,-4.1,2,1,30,-0.11,25187.8,25182.5,0,-0.05,0,-5.3,0,1,-0.08,0,0.5,25204.4,20.7,0.08,26,25155,-28.7,-0.11,8,Late,0,77.73,6052.75,1304.36,100,1,1,2025.11.17 02:56,0,81,100,385.73,308.48,133.28,0,215.94,99.05,214,2134.33,84.8,0,729.48,BULL,NORMAL,,PASS,1,2025.11.17 02:56,1,81,100,385.73,308.48,133.28,0,215.94,99.05,214,2134.33,84.8,0,729.48,BULL,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-22T23:52:51.495Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
20,MT5_Backtest,20,2025.11.17 02:57:00,2025-11-17,02:57:00,Monday,November,2025-11-16,18:57:00,Sunday,November,15-076,30-038,1h-019,2h-010,3h-007,4h-005,After Hours,TP_Integrated_EA,4.2.0.0_SLOPE,,MT5,NAS100,M1,sell,in,4.65,25,620.52,72.54,693.06,21,21,2025-11-16,19:03:38,Sunday,November,15-077,30-039,1h-020,2h-010,3h-007,4h-005,After Hours,buy,out,25,0,0,Win,Short,6,11.69019532005415,0.35,25189.1,25167.9,81,80,-93.33,-440.22,-542.41,0,-29.42,27.63,-272.88,-749.05,-103.66,0,-302.76,BEAR,NORMAL,0,TP,0,0,-174.42,-3736.26,-2493.35,0,-738.11,16.05,-854.89,-2270.08,-61.92,0,-645.71,UNKNOWN,UNKNOWN,0,72.54,10.47,15.6,7,6,30,0.35,25167.9,25189.1,0.15,-0.06,14.8,-6.4,7,2,0.29,34724.43,0.5,25155,12.1,-0.05,2,25204.4,-37.3,0.15,20,Early,-3.5,11.58,3296.04,582.02,80,1,1,2025.11.17 02:57,0,81,80,-262.09,-268.36,-93.18,0,48.89,27.63,-272.88,-749.05,-103.66,0,-302.76,BEAR,NORMAL,,PASS,1,2025.11.17 02:57,6.633333333333334,81,80,-262.09,-268.36,-93.18,0,48.89,27.63,-272.88,-749.05,-103.66,0,-302.76,BEAR,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION"",""EARLY_EXIT""]}",2025-11-22T23:52:51.496Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
