IN_Deal,Report_Source,IN_Trade_ID,IN_MT_MASTER_DATE_TIME,IN_MT_Date,IN_MT_Time,IN_MT_Day,IN_MT_Month,IN_CST_Date_OP_01,IN_CST_Time_OP_01,IN_CST_Day_OP_01,IN_CST_Month_OP_01,IN_Segment_15M_OP_01,IN_Segment_30M_OP_01,IN_Segment_01H_OP_01,IN_Segment_02H_OP_01,IN_Segment_03H_OP_01,IN_Segment_04H_OP_01,IN_Session_Name_OP_02,Strategy_ID_OP_03,Strategy_Version_ID_OP_03,Optimization_ID_OP_03,Report_Broker_OP_03,Symbol_OP_03,Chart_TF_OP_01,IN_Order_Type_OP_01,IN_Order_Direction,Volume_OP_03,IN_Symbol_Price_OP_03,IN_Balance_OP_01,OUT_Profit_OP_01,OUT_Balance_OP_01,OUT_Trade_ID,OUT_Deal,OUT_CST_Date_OP_03,OUT_CST_Time_OP_03,OUT_CST_Day_OP_03,OUT_CST_Month_OP_03,OUT_Segment_15M_OP_03,OUT_Segment_30M_OP_03,OUT_Segment_01H_OP_03,OUT_Segment_02H_OP_03,OUT_Segment_03H_OP_03,OUT_Segment_04H_OP_03,OUT_Session_Name_OP_03,OUT_Order_Type,OUT_Order_Direction,OUT_Symbol_Price_OP_01,OUT_Commission,OUT_Swap,OUT_Symbol,Trade_Result,Trade_Direction,Trade_Duration_Minutes,Trade_ROI_Percentage,Trade_Risk_Reward_Ratio,Trade_MAE,Trade_MFE,EA_Entry_Quality,EA_Entry_Symbol,EA_Entry_Confluence,EA_Entry_Momentum,EA_Entry_Speed,EA_Entry_Acceleration,EA_Entry_Entropy,EA_Entry_Jerk,EA_Entry_PhysicsScore,EA_Entry_SpeedSlope,EA_Entry_AccelerationSlope,EA_Entry_MomentumSlope,EA_Entry_ConfluenceSlope,EA_Entry_JerkSlope,EA_Entry_Zone,EA_Entry_Regime,EA_Entry_Spread,EA_ExitReason,EA_Exit_Symbol,EA_Exit_Quality,EA_Exit_Confluence,EA_Exit_Momentum,EA_Exit_Speed,EA_Exit_Acceleration,EA_Exit_Entropy,EA_Exit_Jerk,EA_Exit_PhysicsScore,EA_Exit_SpeedSlope,EA_Exit_AccelerationSlope,EA_Exit_MomentumSlope,EA_Exit_ConfluenceSlope,EA_Exit_JerkSlope,EA_Exit_Zone,EA_Exit_Regime,EA_Exit_Spread,EA_Profit,EA_ProfitPercent,EA_Pips,EA_HoldTimeBars,EA_HoldTimeMinutes,EA_RiskPercent,EA_RRatio,EA_MFE,EA_MAE,EA_MFE_Percent,EA_MAE_Percent,EA_MFE_Pips,EA_MAE_Pips,EA_MFE_TimeBars,EA_MAE_TimeBars,EA_MFEUtilization,EA_MAEImpact,EA_ExcursionEfficiency,EA_RunUp_Price,EA_RunUp_Pips,EA_RunUp_Percent,EA_RunUp_TimeBars,EA_RunDown_Price,EA_RunDown_Pips,EA_RunDown_Percent,EA_RunDown_TimeBars,EA_ExitQualityClass,EA_EarlyExitOpportunityCost,EA_PhysicsScoreDecay,EA_SpeedDecay,EA_SpeedSlopeDecay,EA_ConfluenceDecay,EA_ZoneTransitioned,Signal_Entry_Matched,Signal_Entry_Timestamp,Signal_Entry_TimeDelta,Signal_Entry_Quality,Signal_Entry_Confluence,Signal_Entry_Speed,Signal_Entry_Acceleration,Signal_Entry_Momentum,Signal_Entry_Entropy,Signal_Entry_Jerk,Signal_Entry_PhysicsScore,Signal_Entry_SpeedSlope,Signal_Entry_AccelerationSlope,Signal_Entry_MomentumSlope,Signal_Entry_ConfluenceSlope,Signal_Entry_JerkSlope,Signal_Entry_Zone,Signal_Entry_Regime,Signal_Entry_PhysicsPass,Signal_Entry_RejectReason,Signal_Exit_Matched,Signal_Exit_Timestamp,Signal_Exit_TimeDelta,Signal_Exit_Quality,Signal_Exit_Confluence,Signal_Exit_Speed,Signal_Exit_Acceleration,Signal_Exit_Momentum,Signal_Exit_Entropy,Signal_Exit_Jerk,Signal_Exit_PhysicsScore,Signal_Exit_SpeedSlope,Signal_Exit_AccelerationSlope,Signal_Exit_MomentumSlope,Signal_Exit_ConfluenceSlope,Signal_Exit_JerkSlope,Signal_Exit_Zone,Signal_Exit_Regime,Signal_Exit_PhysicsPass,Signal_Exit_RejectReason,DataQuality,ProcessingTimestamp,SourceFiles
2,MT5_Backtest,2,2025.10.27 01:01:00,2025-10-27,01:01:00,Monday,October,2025-10-26,17:01:00,Sunday,October,15-069,30-035,1h-018,2h-009,3h-006,4h-005,After Hours,TP_Integrated_EA,4.2.0.6_COMPLETE,,MT5,NAS100,M1,buy,in,2.49,25619.4,10,-18.18,9,3,3,2025-10-26,17:08:00,Sunday,October,15-069,30-035,1h-018,2h-009,3h-006,4h-005,After Hours,sell,out,25612.1,0,0,NAS100,Loss,Long,7,-181.8,-0.04,25610.6,25625.1,86.33,NAS100,100,59.86,4615.76,4649.71,0,829.91,96.91,2041.33,1569.84,52.45,-20,314.89,BULL,LOW,210,MANUAL,NAS100,86.33,60,-32.19,-3482.47,2247.39,0,507.2,60.39,-191,569.42,7.61,10,158.34,UNKNOWN,UNKNOWN,200,-18.18,-0.18,-7.3,8,7,5,-0.04,25625.1,25610.6,0.06,-0.09,5.7,-8.8,1,7,-0.07,0,0.5,25617.8,5.7,0.02,2,25592.6,-19.5,-0.08,48,Late,0,36.52,8098.23,2232.33,40,1,1,2025.10.27 01:01,0,86.33,100,4615.76,4649.71,59.86,0,829.91,96.91,2041.33,1569.84,52.45,-20,314.89,BULL,LOW,,PASS,1,2025.10.27 01:01,7,86.33,100,4615.76,4649.71,59.86,0,829.91,96.91,2041.33,1569.84,52.45,-20,314.89,BULL,LOW,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-24T22:17:35.702Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
4,MT5_Backtest,4,2025.10.27 01:08:01,2025-10-27,01:08:01,Monday,October,2025-10-26,17:08:01,Sunday,October,15-069,30-035,1h-018,2h-009,3h-006,4h-005,After Hours,TP_Integrated_EA,4.2.0.6_COMPLETE,,MT5,NAS100,M1,sell,in,2.49,25611.8,9,-25.15,9,5,5,2025-10-26,18:43:00,Sunday,October,15-075,30-038,1h-019,2h-010,3h-007,4h-005,After Hours,buy,out,25621.9,0,0,NAS100,Loss,Short,94,-279.44444444444446,-0.05,25628.1,25592.6,81,NAS100,60,-27.11,-1663.68,-3421.43,0,-401.54,17.43,-2389.06,-375.43,-13.02,10,212.73,BEAR,LOW,210,MANUAL,NAS100,83.67,80,-54.45,-1448.42,-284.98,0,376.07,33.92,-1586.87,-364.29,-18.44,-10,31.68,UNKNOWN,UNKNOWN,460,-25.15,-0.25,-10.1,96,95,5,-0.05,25592.6,25628.1,0.19,-0.16,19.2,-16.3,53,68,-0.1,0,0.5,25592.5,29.4,-0.11,33,25626.3,-4.4,0.02,1,Late,0,-16.48,-215.26,-802.19,-20,1,1,2025.10.27 01:08,0.016666666666666666,81,60,-1600.82,-3324.72,-26.96,0,-373.91,17.43,-2389.06,-375.43,-13.02,10,212.73,BEAR,LOW,,PASS,1,2025.10.27 02:39,4,81,60,-218.62,-1637.19,-15.27,0,-304.58,18.13,-759.87,588.99,-16.84,10,334.76,BEAR,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-24T22:17:35.705Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
6,MT5_Backtest,6,2025.10.27 02:43:00,2025-10-27,02:43:00,Monday,October,2025-10-26,18:43:00,Sunday,October,15-075,30-038,1h-019,2h-010,3h-007,4h-005,After Hours,TP_Integrated_EA,4.2.0.6_COMPLETE,,MT5,NAS100,M1,buy,in,2.48,25621.9,9,-41.17,9,7,7,2025-10-26,19:31:01,Sunday,October,15-079,30-040,1h-020,2h-010,3h-007,4h-005,After Hours,sell,out,25605.3,0,0,NAS100,Loss,Long,48,-457.44444444444446,-0.08,25592.5,25626.3,81,NAS100,80,14.37,319.53,1494.23,0,486.99,90.91,581.78,1449.6,11.51,-10,365.09,BULL,NORMAL,210,MANUAL,NAS100,86.33,80,41.54,3718.26,-1199.69,0,-548.98,49.81,1457.89,799.11,6.71,10,191.59,UNKNOWN,UNKNOWN,470,-41.17,-0.42,-16.6,49,48,5,-0.08,25626.3,25592.5,0.04,-0.29,4.4,-29.4,1,33,-0.16,0,0.5,25613.5,8.2,0.03,9,25593.8,-11.5,-0.04,39,Late,0,41.1,-3398.73,-876.11,0,1,1,2025.10.27 02:43,0,81,80,319.53,1494.23,14.37,0,486.99,90.91,581.78,1449.6,11.51,-10,365.09,BULL,NORMAL,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-24T22:17:35.708Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
8,MT5_Backtest,8,2025.10.27 03:31:01,2025-10-27,03:31:01,Monday,October,2025-10-26,19:31:01,Sunday,October,15-079,30-040,1h-020,2h-010,3h-007,4h-005,After Hours,TP_Integrated_EA,4.2.0.6_COMPLETE,,MT5,NAS100,M1,sell,in,2.46,25605.3,9,-4.67,9,9,9,2025-10-26,20:13:00,Sunday,October,15-081,30-041,1h-021,2h-011,3h-007,4h-006,After Hours,buy,out,25607.2,0,0,NAS100,Loss,Short,41,-51.888888888888886,-0.01,25618.2,25598.4,78.33,NAS100,80,-38.57,-1038.04,-1554.56,0,-20.92,25.53,-1586.87,-364.29,-18.44,-10,31.68,BEAR,NORMAL,460,MANUAL,NAS100,70.33,80,26.1,1971.96,-348.3,0,-54.16,51.52,455.02,-591.46,-4.57,10,-251.1,UNKNOWN,UNKNOWN,460,-4.67,-0.05,-1.9,43,42,5,-0.01,25598.4,25618.2,0.07,-0.13,6.9,-12.9,39,9,-0.02,0,0.5,25599,8.2,-0.03,2,25632.8,-25.6,0.1,48,Late,0,-25.99,-3010,-2041.89,0,1,1,2025.10.27 03:31,0.016666666666666666,78.33,80,-1038.04,-1554.56,-38.57,0,-20.92,25.53,-1586.87,-364.29,-18.44,-10,31.68,BEAR,NORMAL,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-24T22:17:35.710Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
10,MT5_Backtest,10,2025.10.27 04:13:01,2025-10-27,04:13:01,Monday,October,2025-10-26,20:13:01,Sunday,October,15-081,30-041,1h-021,2h-011,3h-007,4h-006,After Hours,TP_Integrated_EA,4.2.0.6_COMPLETE,,MT5,NAS100,M1,buy,in,2.46,25606.9,9,82.16,9,11,11,2025-10-26,21:48:00,Sunday,October,15-088,30-044,1h-022,2h-011,3h-008,4h-006,After Hours,sell,out,25640.3,0,0,NAS100,Win,Long,94,912.8888888888888,0.16,25599,25653.8,78.33,NAS100,80,8.02,800.9,1853.12,0,364.23,90.39,1502.74,2359.71,14.18,-10,561.05,BULL,NORMAL,460,MANUAL,NAS100,86.33,60,-22.67,-3198.32,483.46,0,782.69,60.96,-2216.52,-133.72,-16.29,-10,188.06,UNKNOWN,UNKNOWN,460,82.16,0.82,33.4,96,95,5,0.16,25653.8,25599,0.47,-0.08,46.9,-7.9,74,2,0.32,31157.5,0.5,25649.8,9.5,0.04,45,25634.5,-5.8,-0.02,19,Good,0,29.44,3999.22,3719.26,20,1,1,2025.10.27 04:13,0.016666666666666666,78.33,80,860.96,1945.53,7.92,0,390.64,90.39,1502.74,2359.71,14.18,-10,561.05,BULL,NORMAL,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-24T22:17:35.712Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
12,MT5_Backtest,12,2025.10.27 05:48:01,2025-10-27,05:48:01,Monday,October,2025-10-26,21:48:01,Sunday,October,15-088,30-044,1h-022,2h-011,3h-008,4h-006,After Hours,TP_Integrated_EA,4.2.0.6_COMPLETE,,MT5,NAS100,M1,sell,in,2.49,25640.3,9,-31.37,9,13,13,2025-10-26,22:30:00,Sunday,October,15-091,30-046,1h-023,2h-012,3h-008,4h-006,After Hours,buy,out,25652.9,0,0,NAS100,Loss,Short,41,-348.55555555555554,-0.06,25653.4,25639.2,83.67,NAS100,80,-40.65,-3483.09,-280.46,0,-120.04,19.74,-39.71,-392.34,-5.7,-10,-124.98,BEAR,NORMAL,470,MANUAL,NAS100,59.67,80,46.48,900.79,207.2,0,338.91,91.77,-1702.53,760.36,-7.74,10,508.7,UNKNOWN,UNKNOWN,420,-31.37,-0.31,-12.6,43,42,5,-0.06,25639.2,25653.4,0.01,-0.13,1.1,-13.1,19,42,-0.12,0,0.5,25639.3,13.6,-0.05,21,25661.4,-8.5,0.03,43,Late,0,-72.03,-4383.87,1662.82,0,1,1,2025.10.27 05:48,0.016666666666666666,83.67,80,-3483.09,-280.46,-40.65,0,-120.04,19.74,-39.71,-392.34,-5.7,-10,-124.98,BEAR,NORMAL,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-24T22:17:35.714Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
14,MT5_Backtest,14,2025.10.27 06:30:01,2025-10-27,06:30:01,Monday,October,2025-10-26,22:30:01,Sunday,October,15-091,30-046,1h-023,2h-012,3h-008,4h-006,After Hours,TP_Integrated_EA,4.2.0.6_COMPLETE,,MT5,NAS100,M1,buy,in,2.49,25652.9,9,-21.41,9,15,15,2025-10-26,22:35:02,Sunday,October,15-091,30-046,1h-023,2h-012,3h-008,4h-006,After Hours,sell,out,25644.3,0,0,NAS100,Loss,Long,5,-237.8888888888889,-0.04,25643.5,25652.9,89,NAS100,100,55.09,5579.24,483.82,0,-77.05,83.48,129.92,-1377.59,-9.96,-10,-410.79,BULL,NORMAL,460,MANUAL,NAS100,67.67,80,23.72,582.01,-483.27,0,9.07,55.99,-204.55,-810.26,-9.27,0,-284.59,UNKNOWN,UNKNOWN,420,-21.41,-0.22,-8.6,6,5,5,-0.04,25652.9,25643.5,0,-0.09,0,-9.4,0,5,-0.08,0,0.5,25661.4,17.1,0.07,38,25639.3,-5,-0.02,16,Late,0,27.49,4997.23,334.47,20,1,1,2025.10.27 06:30,0.016666666666666666,89,100,5579.24,483.82,55.09,0,-77.05,83.48,129.92,-1377.59,-9.96,-10,-410.79,BULL,NORMAL,,PASS,1,2025.10.27 06:30,5.033333333333333,89,100,5579.24,483.82,55.09,0,-77.05,83.48,129.92,-1377.59,-9.96,-10,-410.79,BULL,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-24T22:17:35.716Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
16,MT5_Backtest,16,2025.10.27 06:35:03,2025-10-27,06:35:03,Monday,October,2025-10-26,22:35:03,Sunday,October,15-091,30-046,1h-023,2h-012,3h-008,4h-006,After Hours,TP_Integrated_EA,4.2.0.6_COMPLETE,,MT5,NAS100,M1,sell,in,2.48,25644.3,9,-13.39,9,17,17,2025-10-26,22:40:03,Sunday,October,15-091,30-046,1h-023,2h-012,3h-008,4h-006,After Hours,buy,out,25649.7,0,0,NAS100,Loss,Short,5,-148.7777777777778,-0.03,25651.7,25644.3,86.33,NAS100,60,-9.39,-988.02,-2150.32,0,-152.15,18.75,-2129.6,-1118.43,-6.06,10,-130.61,BEAR,NORMAL,460,MANUAL,NAS100,70.33,100,53.85,2670.84,1225.41,0,205.66,95.75,-340.23,-824.9,-16.92,0,-297.49,UNKNOWN,UNKNOWN,410,-13.39,-0.13,-5.4,6,5,5,-0.03,25644.3,25651.7,0,-0.07,0,-7.4,0,5,-0.05,0,0.5,25639.3,10.4,-0.04,11,25663,-13.3,0.05,49,Late,0,-76.99,-3658.86,-1789.37,-40,1,1,2025.10.27 06:35,0.05,86.33,60,-988.02,-2150.32,-9.39,0,-152.15,18.75,-2129.6,-1118.43,-6.06,10,-130.61,BEAR,NORMAL,,PASS,1,2025.10.27 06:35,5.05,86.33,60,-988.02,-2150.32,-9.39,0,-152.15,18.75,-2129.6,-1118.43,-6.06,10,-130.61,BEAR,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-24T22:17:35.718Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
18,MT5_Backtest,18,2025.10.27 06:40:04,2025-10-27,06:40:04,Monday,October,2025-10-26,22:40:04,Sunday,October,15-091,30-046,1h-023,2h-012,3h-008,4h-006,After Hours,TP_Integrated_EA,4.2.0.6_COMPLETE,,MT5,NAS100,M1,buy,in,2.48,25649.9,9,-25.05,9,19,19,2025-10-26,22:53:06,Sunday,October,15-092,30-046,1h-023,2h-012,3h-008,4h-006,After Hours,sell,out,25639.8,0,0,NAS100,Loss,Long,13,-278.3333333333333,-0.05,25639.3,25649.9,81,NAS100,80,8.72,209.99,1388.98,0,304.74,87.64,1537.58,1643.73,10.1,-10,248.28,BULL,NORMAL,460,MANUAL,NAS100,73,80,22.44,346.64,-603.96,0,-264.69,48,802.83,128.65,29.56,10,-46.21,UNKNOWN,UNKNOWN,410,-25.05,-0.25,-10.1,14,13,5,-0.05,25649.9,25639.3,0,-0.11,0,-10.6,0,11,-0.1,0,0.5,25664,24.2,0.09,38,25639.8,0,0,0,Good,0,39.65,-136.65,734.75,0,1,1,2025.10.27 06:40,0.06666666666666667,81,80,114.82,1242.56,8.72,0,262.91,87.64,1537.58,1643.73,10.1,-10,248.28,BULL,NORMAL,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-24T22:17:35.721Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
20,MT5_Backtest,20,2025.10.27 06:53:07,2025-10-27,06:53:07,Monday,October,2025-10-26,22:53:07,Sunday,October,15-092,30-046,1h-023,2h-012,3h-008,4h-006,After Hours,TP_Integrated_EA,4.2.0.6_COMPLETE,,MT5,NAS100,M1,sell,in,2.46,25639.8,9,-20.66,9,21,21,2025-10-26,23:00:00,Sunday,October,15-093,30-047,1h-024,2h-012,3h-008,4h-006,After Hours,buy,out,25648.2,0,0,NAS100,Loss,Short,6,-229.55555555555554,-0.04,25648.9,25639.8,83.67,NAS100,80,-34.86,-2902.6,-51.8,0,87.06,44.5,107,272.41,11.01,-10,9.66,BEAR,NORMAL,460,MANUAL,NAS100,78.33,100,54.14,3812.89,803.88,0,-82.74,82.46,1156.45,579.91,30.52,0,57.93,UNKNOWN,UNKNOWN,410,-20.66,-0.21,-8.4,8,6,5,-0.04,25639.8,25648.9,0,-0.09,0,-9.1,0,6,-0.08,0,0.5,25643.3,4.9,-0.02,1,25664,-15.8,0.06,31,Late,0,-37.96,-6715.49,-1049.45,-20,1,1,2025.10.27 06:53,0.11666666666666667,83.67,80,-2902.6,-51.8,-34.86,0,87.06,44.5,107,272.41,11.01,-10,9.66,BEAR,NORMAL,,PASS,1,2025.10.27 06:53,7,83.67,80,-2902.6,-51.8,-34.86,0,87.06,44.5,107,272.41,11.01,-10,9.66,BEAR,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-24T22:17:35.724Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
