IN_Deal,Report_Source,IN_Trade_ID,IN_MT_MASTER_DATE_TIME,IN_MT_Date,IN_MT_Time,IN_MT_Day,IN_MT_Month,IN_CST_Date_OP_01,IN_CST_Time_OP_01,IN_CST_Day_OP_01,IN_CST_Month_OP_01,IN_Segment_15M_OP_01,IN_Segment_30M_OP_01,IN_Segment_01H_OP_01,IN_Segment_02H_OP_01,IN_Segment_03H_OP_01,IN_Segment_04H_OP_01,IN_Session_Name_OP_02,Strategy_ID_OP_03,Strategy_Version_ID_OP_03,Optimization_ID_OP_03,Report_Broker_OP_03,Symbol_OP_03,Chart_TF_OP_01,IN_Order_Type_OP_01,IN_Order_Direction,Volume_OP_03,IN_Symbol_Price_OP_03,IN_Balance_OP_01,OUT_Profit_OP_01,OUT_Balance_OP_01,OUT_Trade_ID,OUT_Deal,OUT_CST_Date_OP_03,OUT_CST_Time_OP_03,OUT_CST_Day_OP_03,OUT_CST_Month_OP_03,OUT_Segment_15M_OP_03,OUT_Segment_30M_OP_03,OUT_Segment_01H_OP_03,OUT_Segment_02H_OP_03,OUT_Segment_03H_OP_03,OUT_Segment_04H_OP_03,OUT_Session_Name_OP_03,OUT_Order_Type,OUT_Order_Direction,OUT_Symbol_Price_OP_01,OUT_Commission,OUT_Swap,OUT_Comment,OUT_Symbol,Trade_Result,Trade_Direction,Trade_Duration_Minutes,Trade_ROI_Percentage,Trade_Risk_Reward_Ratio,Trade_MAE,Trade_MFE,EA_Entry_Quality,EA_Entry_Symbol,EA_Entry_Confluence,EA_Entry_Momentum,EA_Entry_Speed,EA_Entry_Acceleration,EA_Entry_Entropy,EA_Entry_Jerk,EA_Entry_PhysicsScore,EA_Entry_SpeedSlope,EA_Entry_AccelerationSlope,EA_Entry_MomentumSlope,EA_Entry_ConfluenceSlope,EA_Entry_JerkSlope,EA_Entry_Zone,EA_Entry_Regime,EA_Entry_Spread,EA_ExitReason,EA_Exit_Symbol,EA_Exit_Quality,EA_Exit_Confluence,EA_Exit_Momentum,EA_Exit_Speed,EA_Exit_Acceleration,EA_Exit_Entropy,EA_Exit_Jerk,EA_Exit_PhysicsScore,EA_Exit_SpeedSlope,EA_Exit_AccelerationSlope,EA_Exit_MomentumSlope,EA_Exit_ConfluenceSlope,EA_Exit_JerkSlope,EA_Exit_Zone,EA_Exit_Regime,EA_Exit_Spread,EA_Profit,EA_ProfitPercent,EA_Pips,EA_HoldTimeBars,EA_HoldTimeMinutes,EA_RiskPercent,EA_RRatio,EA_MFE,EA_MAE,EA_MFE_Percent,EA_MAE_Percent,EA_MFE_Pips,EA_MAE_Pips,EA_MFE_TimeBars,EA_MAE_TimeBars,EA_MFEUtilization,EA_MAEImpact,EA_ExcursionEfficiency,EA_RunUp_Price,EA_RunUp_Pips,EA_RunUp_Percent,EA_RunUp_TimeBars,EA_RunDown_Price,EA_RunDown_Pips,EA_RunDown_Percent,EA_RunDown_TimeBars,EA_ExitQualityClass,EA_EarlyExitOpportunityCost,EA_PhysicsScoreDecay,EA_SpeedDecay,EA_SpeedSlopeDecay,EA_ConfluenceDecay,EA_ZoneTransitioned,Signal_Entry_Matched,Signal_Entry_Timestamp,Signal_Entry_TimeDelta,Signal_Entry_Quality,Signal_Entry_Confluence,Signal_Entry_Speed,Signal_Entry_Acceleration,Signal_Entry_Momentum,Signal_Entry_Entropy,Signal_Entry_Jerk,Signal_Entry_PhysicsScore,Signal_Entry_SpeedSlope,Signal_Entry_AccelerationSlope,Signal_Entry_MomentumSlope,Signal_Entry_ConfluenceSlope,Signal_Entry_JerkSlope,Signal_Entry_Zone,Signal_Entry_Regime,Signal_Entry_PhysicsPass,Signal_Entry_RejectReason,Signal_Exit_Matched,Signal_Exit_Timestamp,Signal_Exit_TimeDelta,Signal_Exit_Quality,Signal_Exit_Confluence,Signal_Exit_Speed,Signal_Exit_Acceleration,Signal_Exit_Momentum,Signal_Exit_Entropy,Signal_Exit_Jerk,Signal_Exit_PhysicsScore,Signal_Exit_SpeedSlope,Signal_Exit_AccelerationSlope,Signal_Exit_MomentumSlope,Signal_Exit_ConfluenceSlope,Signal_Exit_JerkSlope,Signal_Exit_Zone,Signal_Exit_Regime,Signal_Exit_PhysicsPass,Signal_Exit_RejectReason,DataQuality,ProcessingTimestamp,SourceFiles
2,MT5_Backtest,2,2025.01.02 01:25:00,2025-01-02,01:25:00,Thursday,January,2025-01-01,17:25:00,Wednesday,January,15-070,30-035,1h-018,2h-009,3h-006,4h-005,After Hours,TP_Integrated_EA,4.2.0.7_COMPLETE,,MT5,XAUUSD,M1,sell,in,2,2623.66,10,-1006,8,3,3,2025-01-01,19:06:12,Wednesday,January,15-077,30-039,1h-020,2h-010,3h-007,4h-005,After Hours,buy,out,2628.69,0,0,sl 2628.66,XAUUSD,Loss,Short,101,-10060,-11.19,2628.61,2621.97,87.78,XAUUSD,60,-11.82,-320.85,-1336.1,0,-158.23,18.68,-1190.73,-1029.59,-17.93,10,-190.62,BEAR,LOW,420,SL,XAUUSD,78.89,100,135.16,3734.64,981.72,0,-18.13,90.08,933.62,-1190.13,41.09,0,-424.8,UNKNOWN,UNKNOWN,400,-1006,-11.19,-5.03,21,101,1,-11.19,2621.97,2628.61,0.02,-0.05,1.69,-4.95,5,21,-38.37,0,0.5,2628.2,0.49,-0.02,1,2636.24,-7.55,0.29,16,Late,0,-71.41,-4055.49,-2124.35,-40,1,1,2025.01.02 01:25,0,87.78,60,-320.85,-1336.1,-11.82,0,-158.23,18.68,-1190.73,-1029.59,-17.93,10,-190.62,BEAR,LOW,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-25T08:06:16.523Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
4,MT5_Backtest,4,2025.01.02 05:40:00,2025-01-02,05:40:00,Thursday,January,2025-01-01,21:40:00,Wednesday,January,15-087,30-044,1h-022,2h-011,3h-008,4h-006,After Hours,TP_Integrated_EA,4.2.0.7_COMPLETE,,MT5,XAUUSD,M1,sell,in,1.79,2632.25,8,-510.15,8,5,5,2025-01-01,23:30:00,Wednesday,January,15-095,30-048,1h-024,2h-012,3h-008,4h-006,After Hours,buy,out,2635.1,0,0,,XAUUSD,Loss,Short,110,-6376.875,-6.01,2635.57,2631.37,85.56,XAUUSD,80,-157.5,-2385.65,-62.82,0,97.09,40.66,-315.23,157.87,-6.55,-10,70.19,BEAR,NORMAL,390,MANUAL,XAUUSD,83.33,60,54.73,2107.59,-2072.22,0,-294.94,47.45,-903.88,-534.63,-51.49,0,-13.44,UNKNOWN,UNKNOWN,420,-510.15,-6.01,-2.85,23,110,1,-6.01,2631.37,2635.57,0.01,-0.03,0.88,-3.32,14,22,-19.39,0,0.5,2631.02,4.08,-0.15,10,2639.84,-4.74,0.18,48,Late,0,-6.79,-4493.24,588.65,20,1,1,2025.01.02 05:40,0,85.56,80,-2385.65,-62.82,-157.5,0,97.09,40.66,-315.23,157.87,-6.55,-10,70.19,BEAR,NORMAL,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-25T08:06:16.525Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
6,MT5_Backtest,6,2025.01.02 07:30:01,2025-01-02,07:30:01,Thursday,January,2025-01-01,23:30:01,Wednesday,January,15-095,30-048,1h-024,2h-012,3h-008,4h-006,After Hours,TP_Integrated_EA,4.2.0.7_COMPLETE,,MT5,XAUUSD,M1,buy,in,1.69,2635.15,8,-211.25,8,7,7,2025-01-02,00:00:00,Thursday,January,15-001,30-001,1h-001,2h-001,3h-001,4h-001,After Hours,sell,out,2633.9,0,0,,XAUUSD,Loss,Long,29,-2640.625,-2.55,2633.88,2636.37,87.78,XAUUSD,100,121,4749.05,1372.02,0,240.98,99.39,-393.84,-709.58,-22.14,-10,-118.41,BULL,LOW,380,MANUAL,XAUUSD,87.78,80,-294.2,-6334.4,-2070.2,0,3.18,24.13,-583.34,-62.33,-38.41,0,-60.43,UNKNOWN,UNKNOWN,420,-211.25,-2.55,-1.25,7,30,1,-2.55,2636.37,2633.88,0.01,-0.01,1.22,-1.27,3,6,-8.01,0,0.5,2639.84,5.94,0.23,42,2631.02,-2.88,-0.11,4,Late,0,75.26,11083.45,189.51,20,1,1,2025.01.02 07:30,0.016666666666666666,87.78,100,4687.77,1280.09,121,0,218,99.39,-393.84,-709.58,-22.14,-10,-118.41,BULL,LOW,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-25T08:06:16.527Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
8,MT5_Backtest,8,2025.01.02 08:00:00,2025-01-02,08:00:00,Thursday,January,2025-01-02,00:00:00,Thursday,January,15-001,30-001,1h-001,2h-001,3h-001,4h-001,After Hours,TP_Integrated_EA,4.2.0.7_COMPLETE,,MT5,XAUUSD,M1,sell,in,1.65,2633.77,8,-66,8,9,9,2025-01-02,00:40:00,Thursday,January,15-003,30-002,1h-001,2h-001,3h-001,4h-001,After Hours,buy,out,2634.17,0,0,,XAUUSD,Loss,Short,40,-825,-0.8,2634.7,2631.46,87.78,XAUUSD,60,-22.58,-412.9,-3390.79,0,-583.03,18.06,-1733.65,-885.18,-19.6,0,-84.19,BEAR,LOW,420,MANUAL,XAUUSD,85.56,80,264.35,12889.38,-6940.93,0,-2373.73,53.28,3002.62,-1678.16,72.8,10,-563.08,UNKNOWN,UNKNOWN,390,-66,-0.8,-0.4,9,40,1,-0.8,2631.46,2634.7,0.02,-0.01,2.31,-0.93,4,6,-2.51,0,0.5,2631.09,3.08,-0.12,23,2646.24,-12.07,0.46,45,Late,0,-35.22,-13302.28,-4736.27,-20,1,1,2025.01.02 08:00,0,87.78,60,-268.07,-3173.55,-22.17,0,-528.72,18.06,-1733.65,-885.18,-19.6,0,-84.19,BEAR,LOW,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-25T08:06:16.528Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
10,MT5_Backtest,10,2025.01.02 08:40:00,2025-01-02,08:40:00,Thursday,January,2025-01-02,00:40:00,Thursday,January,15-003,30-002,1h-001,2h-001,3h-001,4h-001,After Hours,TP_Integrated_EA,4.2.0.7_COMPLETE,,MT5,XAUUSD,M1,buy,in,1.64,2634.17,8,408.36,8,11,11,2025-01-02,03:55:00,Thursday,January,15-016,30-008,1h-004,2h-002,3h-002,4h-001,After Hours,sell,out,2636.66,0,0,,XAUUSD,Win,Long,195,5104.5,4.74,2631.09,2639.84,85.56,XAUUSD,80,40.71,2316.53,3574.92,0,549.98,92.72,2481.11,-2.62,24.28,-20,-298.07,BULL,NORMAL,380,MANUAL,XAUUSD,87.78,100,440.39,5351.44,741.22,0,-536.2,84.39,5222.82,1948.1,135.53,-10,116.88,UNKNOWN,UNKNOWN,380,408.36,4.74,2.49,40,195,1,4.74,2639.84,2631.09,0.06,-0.03,5.67,-3.08,34,23,15.47,644.31,0.5,2647.26,10.6,0.4,49,2632.63,-4.03,-0.15,3,Early,8.11,8.33,-3034.91,-2741.71,-20,1,1,2025.01.02 08:40,0,85.56,80,2316.53,3574.92,40.71,0,549.98,92.72,2481.11,-2.62,24.28,-20,-298.07,BULL,NORMAL,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION"",""EARLY_EXIT""]}",2025-11-25T08:06:16.531Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
12,MT5_Backtest,12,2025.01.02 11:55:00,2025-01-02,11:55:00,Thursday,January,2025-01-02,03:55:00,Thursday,January,15-016,30-008,1h-004,2h-002,3h-002,4h-001,After Hours,TP_Integrated_EA,4.2.0.7_COMPLETE,,MT5,XAUUSD,M1,sell,in,1.72,2636.66,8,-952.88,7,13,13,2025-01-02,04:19:02,Thursday,January,15-018,30-009,1h-005,2h-003,3h-002,4h-002,After Hours,buy,out,2642.2,0,0,sl 2641.66,XAUUSD,Loss,Short,24,-11911,-12.44,2641.59,2633.01,87.78,XAUUSD,80,-256.36,-1277.57,-350.23,0,220.58,31.39,-541.79,691.65,-99.56,-10,170.75,BEAR,NORMAL,400,SL,XAUUSD,83.33,80,525.2,7109.75,-2062.93,0,-1016.58,53.17,1900.08,3011.02,167.38,0,914.96,UNKNOWN,UNKNOWN,390,-952.88,-12.44,-5.54,5,24,1,-12.44,2633.01,2641.59,0.04,-0.05,3.65,-4.93,3,5,-36.19,0,0.5,2635.89,6.31,-0.24,38,2648.96,-6.76,0.26,49,Late,0,-21.78,-8387.32,-2441.87,0,1,1,2025.01.02 11:55,0,87.78,80,-1277.57,-350.23,-256.36,0,220.58,31.39,-541.79,691.65,-99.56,-10,170.75,BEAR,NORMAL,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-25T08:06:16.532Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
14,MT5_Backtest,14,2025.01.02 12:20:00,2025-01-02,12:20:00,Thursday,January,2025-01-02,04:20:00,Thursday,January,15-018,30-009,1h-005,2h-003,3h-002,4h-002,After Hours,TP_Integrated_EA,4.2.0.7_COMPLETE,,MT5,XAUUSD,M1,buy,in,1.53,2643.67,7,-801.72,6,15,15,2025-01-02,07:13:26,Thursday,January,15-029,30-015,1h-008,2h-004,3h-003,4h-002,After Hours,sell,out,2638.43,0,0,sl 2638.67,XAUUSD,Loss,Long,173,-11453.142857142857,-11.69,2638.7,2646.32,85.56,XAUUSD,100,232.47,7789.02,6408.69,0,1108.18,99.28,4062.63,3713.42,140.47,-10,669.71,BULL,HIGH,390,SL,XAUUSD,83.33,60,85.11,4228.26,-2553.61,0,-476.16,49.27,-505.95,-1279.7,5.58,0,-353.16,UNKNOWN,UNKNOWN,380,-801.72,-11.69,-5.24,35,173,1,-11.69,2646.32,2638.7,0.03,-0.05,2.65,-4.97,30,35,-30.3,0,0.5,2660.32,21.89,0.83,46,2635.89,-2.54,-0.1,3,Late,0,50,3560.76,4568.58,40,1,1,2025.01.02 12:20,0,85.56,100,7789.02,6408.69,232.47,0,1108.18,99.28,4062.63,3713.42,140.47,-10,669.71,BULL,HIGH,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-25T08:06:16.534Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
16,MT5_Backtest,16,2025.01.02 15:50:00,2025-01-02,15:50:00,Thursday,January,2025-01-02,07:50:00,Thursday,January,15-032,30-016,1h-008,2h-004,3h-003,4h-002,News,TP_Integrated_EA,4.2.0.7_COMPLETE,,MT5,XAUUSD,M1,buy,in,1.37,2642.81,6,1370,8,17,17,2025-01-02,09:37:45,Thursday,January,15-039,30-020,1h-010,2h-005,3h-004,4h-003,Floor Session,sell,out,2652.81,0,0,tp 2652.81,XAUUSD,Win,Long,107,22833.333333333336,16.65,2640.24,2652.8,85.56,XAUUSD,80,113.92,2964.59,5619.56,0,831.83,96.28,3924.08,3178.54,19.3,-20,565.98,BULL,NORMAL,380,TP,XAUUSD,81.11,100,95.02,2337.86,1880.33,0,274.64,98.76,344.63,-233.5,36.53,-10,-106.54,UNKNOWN,UNKNOWN,410,1370,16.65,10,22,107,1,16.65,2652.8,2640.24,0.1,-0.03,9.99,-2.57,22,3,51.64,192.72,0.5,2660.32,7.51,0.28,17,2649.94,-2.87,-0.11,6,Early,-2.49,-2.48,626.73,3579.46,-20,1,1,2025.01.02 15:50,0,85.56,80,2964.59,5619.56,113.92,0,831.83,96.28,3924.08,3178.54,19.3,-20,565.98,BULL,NORMAL,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION"",""EARLY_EXIT""]}",2025-11-25T08:06:16.535Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
18,MT5_Backtest,18,2025.01.02 18:55:00,2025-01-02,18:55:00,Thursday,January,2025-01-02,10:55:00,Thursday,January,15-044,30-022,1h-011,2h-006,3h-004,4h-003,Floor Session,TP_Integrated_EA,4.2.0.7_COMPLETE,,MT5,XAUUSD,M1,buy,in,1.64,2660.12,8,-633.04,7,19,19,2025-01-02,11:30:00,Thursday,January,15-047,30-024,1h-012,2h-006,3h-004,4h-003,Floor Session,sell,out,2656.26,0,0,,XAUUSD,Loss,Long,35,-7913,-8.33,2655.92,2660.32,94.44,XAUUSD,100,226.92,8015.05,19.09,0,-13.54,78.54,-622.67,-800.21,-104.6,-10,-131.27,BULL,NORMAL,390,MANUAL,XAUUSD,83.33,80,-154.66,-6474.49,-2188.16,0,15.61,24.84,-1606.95,423.03,-54.35,0,188.67,UNKNOWN,UNKNOWN,420,-633.04,-8.33,-3.86,8,35,1,-8.33,2660.32,2655.92,0,-0.04,0.2,-4.2,1,7,-23.8,0,0.5,2660.33,4.07,0.15,36,2652.48,-3.78,-0.14,5,Late,0,53.71,14489.54,984.28,20,1,1,2025.01.02 18:55,0,94.44,100,8015.05,19.09,226.92,0,-13.54,78.54,-622.67,-800.21,-104.6,-10,-131.27,BULL,NORMAL,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-25T08:06:16.536Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
20,MT5_Backtest,20,2025.01.02 19:30:00,2025-01-02,19:30:00,Thursday,January,2025-01-02,11:30:00,Thursday,January,15-047,30-024,1h-012,2h-006,3h-004,4h-003,Floor Session,TP_Integrated_EA,4.2.0.7_COMPLETE,,MT5,XAUUSD,M1,sell,in,1.51,2656.47,7,-756.51,6,21,21,2025-01-02,19:00:05,Thursday,January,15-077,30-039,1h-020,2h-010,3h-007,4h-005,After Hours,buy,out,2661.48,0,101.4,sl 2661.47,XAUUSD,Loss,Short,450,-10807.285714285714,-10.9,2661.44,2652.87,85.56,XAUUSD,80,-163.38,-3878.33,-3991.97,0,-410.61,16.28,-2332.52,-58.16,-81.26,-10,135.92,BEAR,NORMAL,420,SL,XAUUSD,87.78,60,-79.3,-2757.78,421.09,0,333.47,57.63,-1225.68,285.35,-40.68,10,187.32,UNKNOWN,UNKNOWN,380,-756.51,-10.9,-5.01,77,450,1,-10.9,2652.87,2661.44,0.04,-0.05,3.6,-4.97,5,68,-28.52,0,0.5,2656.11,5.37,-0.2,13,2665.02,-3.54,0.13,30,Late,0,-41.35,-1120.55,-1106.84,20,1,1,2025.01.02 19:30,0,85.56,80,-4053.37,-4254.53,-162.97,0,-476.25,16.28,-2332.52,-58.16,-81.26,-10,135.92,BEAR,NORMAL,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-25T08:06:16.538Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
