Segment,Total_Trades,Total_Profit,Avg_Profit,Wins,Win_Rate
1h-012,5,95.59,19.118000000000002,3,60.0
1h-004,9,81.07000000000001,9.007777777777779,5,55.6
1h-010,15,423.5,28.233333333333334,8,53.3
1h-019,6,-99.05,-16.508333333333333,3,50.0
1h-024,8,246.27,30.78375,4,50.0
1h-005,8,21.939999999999998,2.7424999999999997,4,50.0
1h-001,9,45.830000000000005,5.092222222222222,4,44.4
1h-022,14,109.22,7.801428571428572,6,42.9
1h-009,7,-15.890000000000004,-2.2700000000000005,3,42.9
1h-011,12,101.12,8.426666666666668,5,41.7
1h-008,10,-126.92,-12.692,4,40.0
1h-023,10,-121.62,-12.162,4,40.0
1h-018,11,76.76,6.9781818181818185,4,36.4
1h-007,14,-105.36000000000001,-7.525714285714287,5,35.7
1h-014,10,8.869999999999976,0.8869999999999976,3,30.0
1h-003,14,-144.74,-10.338571428571429,4,28.6
1h-002,11,-276.27,-25.115454545454543,3,27.3
1h-013,11,79.89,7.262727272727273,3,27.3
1h-021,16,-174.13,-10.883125,4,25.0
1h-016,13,-260.87,-20.06692307692308,3,23.1
1h-006,15,-321.03999999999996,-21.402666666666665,3,20.0
1h-020,10,-70.07999999999998,-7.007999999999998,2,20.0
1h-015,5,-109.68,-21.936,1,20.0
