tradeIndex,type,message
0,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=2, OUT=3"
1,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=4, OUT=5"
2,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=6, OUT=7"
2,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
3,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=8, OUT=9"
4,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=10, OUT=11"
5,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=12, OUT=13"
5,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
6,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=14, OUT=15"
7,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=16, OUT=17"
7,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
8,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=18, OUT=19"
8,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
9,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=20, OUT=21"
9,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
10,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=22, OUT=23"
11,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=24, OUT=25"
12,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=26, OUT=27"
13,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=28, OUT=29"
14,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=30, OUT=31"
14,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
15,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=32, OUT=33"
15,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
16,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=34, OUT=35"
16,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
17,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=36, OUT=37"
17,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
18,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=38, OUT=39"
19,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=40, OUT=41"
20,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=42, OUT=43"
21,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=44, OUT=45"
22,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=46, OUT=47"
23,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=48, OUT=49"
24,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=50, OUT=51"
25,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=52, OUT=53"
26,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=54, OUT=55"
26,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
27,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=56, OUT=57"
28,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=58, OUT=59"
29,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=60, OUT=61"
30,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=62, OUT=63"
30,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
31,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=64, OUT=65"
32,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=66, OUT=67"
33,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=68, OUT=69"
34,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=70, OUT=71"
34,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
35,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=72, OUT=73"
36,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=74, OUT=75"
36,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
37,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=76, OUT=77"
38,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=78, OUT=79"
38,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
39,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=80, OUT=81"
39,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
40,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=82, OUT=83"
40,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
41,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=84, OUT=85"
42,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=86, OUT=87"
43,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=88, OUT=89"
43,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
44,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=90, OUT=91"
45,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=92, OUT=93"
45,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
46,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=94, OUT=95"
