IN_Deal,Report_Source,IN_Trade_ID,IN_MT_MASTER_DATE_TIME,IN_MT_Date,IN_MT_Time,IN_MT_Day,IN_MT_Month,IN_CST_Date_OP_01,IN_CST_Time_OP_01,IN_CST_Day_OP_01,IN_CST_Month_OP_01,IN_Segment_15M_OP_01,IN_Segment_30M_OP_01,IN_Segment_01H_OP_01,IN_Segment_02H_OP_01,IN_Segment_03H_OP_01,IN_Segment_04H_OP_01,IN_Session_Name_OP_02,Strategy_ID_OP_03,Strategy_Version_ID_OP_03,Optimization_ID_OP_03,Report_Broker_OP_03,Symbol_OP_03,Chart_TF_OP_01,IN_Order_Type_OP_01,IN_Order_Direction,Volume_OP_03,IN_Symbol_Price_OP_03,IN_Balance_OP_01,OUT_Profit_OP_01,OUT_Balance_OP_01,OUT_Trade_ID,OUT_Deal,OUT_CST_Date_OP_03,OUT_CST_Time_OP_03,OUT_CST_Day_OP_03,OUT_CST_Month_OP_03,OUT_Segment_15M_OP_03,OUT_Segment_30M_OP_03,OUT_Segment_01H_OP_03,OUT_Segment_02H_OP_03,OUT_Segment_03H_OP_03,OUT_Segment_04H_OP_03,OUT_Session_Name_OP_03,OUT_Order_Type,OUT_Order_Direction,OUT_Symbol_Price_OP_01,OUT_Commission,OUT_Swap,OUT_Comment,OUT_Symbol,Trade_Result,Trade_Direction,Trade_Duration_Minutes,Trade_ROI_Percentage,Trade_Risk_Reward_Ratio,Trade_MAE,Trade_MFE,EA_Entry_Quality,EA_Entry_Symbol,EA_Entry_Confluence,EA_Entry_Momentum,EA_Entry_Speed,EA_Entry_Acceleration,EA_Entry_Entropy,EA_Entry_Jerk,EA_Entry_PhysicsScore,EA_Entry_SpeedSlope,EA_Entry_AccelerationSlope,EA_Entry_MomentumSlope,EA_Entry_ConfluenceSlope,EA_Entry_JerkSlope,EA_Entry_Zone,EA_Entry_Regime,EA_Entry_Spread,EA_ExitReason,EA_Exit_Symbol,EA_Exit_Quality,EA_Exit_Confluence,EA_Exit_Momentum,EA_Exit_Speed,EA_Exit_Acceleration,EA_Exit_Entropy,EA_Exit_Jerk,EA_Exit_PhysicsScore,EA_Exit_SpeedSlope,EA_Exit_AccelerationSlope,EA_Exit_MomentumSlope,EA_Exit_ConfluenceSlope,EA_Exit_JerkSlope,EA_Exit_Zone,EA_Exit_Regime,EA_Exit_Spread,EA_Profit,EA_ProfitPercent,EA_Pips,EA_HoldTimeBars,EA_HoldTimeMinutes,EA_RiskPercent,EA_RRatio,EA_MFE,EA_MAE,EA_MFE_Percent,EA_MAE_Percent,EA_MFE_Pips,EA_MAE_Pips,EA_MFE_TimeBars,EA_MAE_TimeBars,EA_MFEUtilization,EA_MAEImpact,EA_ExcursionEfficiency,EA_RunUp_Price,EA_RunUp_Pips,EA_RunUp_Percent,EA_RunUp_TimeBars,EA_RunDown_Price,EA_RunDown_Pips,EA_RunDown_Percent,EA_RunDown_TimeBars,EA_ExitQualityClass,EA_EarlyExitOpportunityCost,EA_PhysicsScoreDecay,EA_SpeedDecay,EA_SpeedSlopeDecay,EA_ConfluenceDecay,EA_ZoneTransitioned,Signal_Entry_Matched,Signal_Entry_Timestamp,Signal_Entry_TimeDelta,Signal_Entry_Quality,Signal_Entry_Confluence,Signal_Entry_Speed,Signal_Entry_Acceleration,Signal_Entry_Momentum,Signal_Entry_Entropy,Signal_Entry_Jerk,Signal_Entry_PhysicsScore,Signal_Entry_SpeedSlope,Signal_Entry_AccelerationSlope,Signal_Entry_MomentumSlope,Signal_Entry_ConfluenceSlope,Signal_Entry_JerkSlope,Signal_Entry_Zone,Signal_Entry_Regime,Signal_Entry_PhysicsPass,Signal_Entry_RejectReason,Signal_Exit_Matched,Signal_Exit_Timestamp,Signal_Exit_TimeDelta,Signal_Exit_Quality,Signal_Exit_Confluence,Signal_Exit_Speed,Signal_Exit_Acceleration,Signal_Exit_Momentum,Signal_Exit_Entropy,Signal_Exit_Jerk,Signal_Exit_PhysicsScore,Signal_Exit_SpeedSlope,Signal_Exit_AccelerationSlope,Signal_Exit_MomentumSlope,Signal_Exit_ConfluenceSlope,Signal_Exit_JerkSlope,Signal_Exit_Zone,Signal_Exit_Regime,Signal_Exit_PhysicsPass,Signal_Exit_RejectReason,DataQuality,ProcessingTimestamp,SourceFiles
2,MT5_Backtest,2,2025.01.02 02:05:00,2025-01-02,02:05:00,Thursday,January,2025-01-01,18:05:00,Wednesday,January,15-073,30-037,1h-019,2h-010,3h-007,4h-005,After Hours,TP_Integrated_EA,5.0.0.0_MASTER,,MT5,NAS100,M1,sell,in,1.99,21048.8,10,14.53,10,3,3,2025-01-01,18:45:00,Wednesday,January,15-076,30-038,1h-019,2h-010,3h-007,4h-005,After Hours,buy,out,21041.5,0,0.0,,NAS100,Win,Short,40,145.29999999999998,0.01,21062.6,20948.8,81.0,NAS100,80,-443.99,-9075.72,-1109.15,0,240.1,31.05,360.4,-447.22,-10.92,0,-571.3,BEAR,NORMAL,200,MANUAL,NAS100,83.67,80,138.22,6223.29,-812.67,0,-1013.7,53.18,3260.98,1124.6,151.08,20,23.05,UNKNOWN,UNKNOWN,200,14.53,0.15,7.3,9,40,10,0.01,20948.8,21062.6,1.0,-0.14,100.0,-13.8,3,1,0.07,144959.39,0.5,21036.6,4.9,-0.02,1,21160.6,-119.1,0.57,33,,-2.4,-22.13,-15299.01,-2900.58,0,True,True,2025.01.02 02:05,0,81.0,80,-9075.72,-1109.15,-443.99,0,240.1,31.05,360.4,-447.22,-10.92,0,-571.3,BEAR,NORMAL,False,PASS,True,2025.01.02 02:45,0.0,86.33,80.0,3750.89,13292.24,81.55,0.0,2150.4,95.21,9283.26,5659.82,106.76,0.0,602.04,BULL,NORMAL,0.0,PASS,,2025-11-26T10:43:25.086Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
4,MT5_Backtest,4,2025.01.02 02:45:00,2025-01-02,02:45:00,Thursday,January,2025-01-01,18:45:00,Wednesday,January,15-076,30-038,1h-019,2h-010,3h-007,4h-005,After Hours,TP_Integrated_EA,5.0.0.0_MASTER,,MT5,NAS100,M1,buy,in,2.0,21041.5,10,186.6,10,5,5,2025-01-01,21:15:00,Wednesday,January,15-086,30-043,1h-022,2h-011,3h-008,4h-006,After Hours,sell,out,21134.8,0,0.0,,NAS100,Win,Long,150,1866.0,0.18,21036.6,21153.8,86.33,NAS100,80,81.55,3750.89,13292.24,0,2150.4,95.21,9283.26,5659.82,106.76,0,602.04,BULL,NORMAL,200,MANUAL,NAS100,70.33,80,-157.12,-1440.25,-823.3,0,286.57,30.52,-1484.3,-1398.33,-12.98,-20,-339.57,UNKNOWN,UNKNOWN,200,186.6,1.83,93.3,31,150,10,0.18,21153.8,21036.6,1.12,-0.05,112.3,-4.9,26,1,0.88,11273.63,0.5,21218.8,84.0,0.4,46,21109.6,-25.2,-0.12,14,,-9.3,64.69,5191.14,10767.56,0,True,True,2025.01.02 02:45,0,86.33,80,3750.89,13292.24,81.55,0,2150.4,95.21,9283.26,5659.82,106.76,0,602.04,BULL,NORMAL,False,PASS,True,2025.01.02 05:15,0.0,78.33,80.0,-1694.29,-1692.59,-254.31,0.0,-64.7,18.56,-1024.25,1573.43,-169.32,0.0,608.77,BEAR,LOW,0.0,PASS,,2025-11-26T10:43:25.092Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
12,MT5_Backtest,12,2025.01.02 06:40:00,2025-01-02,06:40:00,Thursday,January,2025-01-01,22:40:00,Wednesday,January,15-091,30-046,1h-023,2h-012,3h-008,4h-006,After Hours,TP_Integrated_EA,5.0.0.0_MASTER,,MT5,NAS100,M1,buy,in,2.0,21142.8,10,71.0,10,13,13,2025-01-02,01:55:00,Thursday,January,15-008,30-004,1h-002,2h-001,3h-001,4h-001,After Hours,sell,out,21178.3,0,0.0,,NAS100,Win,Long,195,710.0,0.07,21139.1,21218.8,81.0,NAS100,100,106.0,4492.63,4859.66,0,903.78,99.05,2529.99,2096.68,129.86,0,421.11,BULL,LOW,200,MANUAL,NAS100,83.67,100,461.27,17300.22,1583.02,0,-826.84,84.18,3716.79,917.02,55.22,0,-91.73,UNKNOWN,UNKNOWN,200,71.0,0.7,35.5,40,195,10,0.07,21218.8,21139.1,0.76,-0.04,76.0,-3.7,29,1,0.33,29773.38,0.5,21289.8,111.5,0.53,49,21139.8,-38.5,-0.18,8,,76.0,14.87,-12807.6,-1186.8,0,True,True,2025.01.02 06:40,0,81.0,100,4492.63,4859.66,106.0,0,903.78,99.05,2529.99,2096.68,129.86,0,421.11,BULL,LOW,False,PASS,True,2025.01.02 09:55,0.0,86.33,80.0,-7629.48,-114.73,-249.61,0.0,384.29,37.29,-1027.86,1820.27,39.2,-10.0,676.24,BEAR,NORMAL,0.0,PASS,,2025-11-26T10:43:25.115Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
26,MT5_Backtest,26,2025.01.02 17:25:00,2025-01-02,17:25:00,Thursday,January,2025-01-02,09:25:00,Thursday,January,15-038,30-019,1h-010,2h-005,3h-004,4h-003,Floor Session,TP_Integrated_EA,5.0.0.0_MASTER,,MT5,NAS100,M1,sell,in,1.85,21088.5,9,185.56,9,27,27,2025-01-02,18:05:00,Thursday,January,15-073,30-037,1h-019,2h-010,3h-007,4h-005,After Hours,buy,out,20988.2,0,3.18,,NAS100,Win,Short,520,2061.777777777778,0.2,21179.8,20810.0,83.67,NAS100,80,-869.09,-10460.89,-16069.29,0,-3426.73,16.18,-10057.89,-8087.48,-500.28,-20,-910.57,BEAR,HIGH,200,MANUAL,NAS100,81.0,80,-214.6,-3595.32,-236.57,0,400.91,31.05,-933.01,-221.72,-89.19,20,-32.83,UNKNOWN,UNKNOWN,200,185.56,1.96,100.3,93,520,10,0.2,20810.0,21179.8,2.79,-0.91,278.5,-91.3,30,18,0.89,11413.99,0.5,20985.0,3.2,-0.02,1,21081.4,-93.2,0.44,41,,0.0,-14.87,-6865.57,-9124.88,0,True,True,2025.01.02 17:25,0,83.67,80,-10508.98,-16143.27,-869.09,0,-3447.87,16.18,-10057.89,-8087.48,-500.28,-20,-910.57,BEAR,HIGH,False,PASS,True,2025.01.03 02:05,0.0,83.67,100.0,2303.78,3193.45,130.56,0.0,337.26,99.18,2250.91,-498.18,89.15,10.0,-461.5,BULL,LOW,0.0,PASS,,2025-11-26T10:43:25.152Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
28,MT5_Backtest,28,2025.01.03 02:05:00,2025-01-03,02:05:00,Friday,January,2025-01-02,18:05:00,Thursday,January,15-073,30-037,1h-019,2h-010,3h-007,4h-005,After Hours,TP_Integrated_EA,5.0.0.0_MASTER,,MT5,NAS100,M1,buy,in,1.89,20988.2,9,95.07,9,29,29,2025-01-02,19:45:00,Thursday,January,15-080,30-040,1h-020,2h-010,3h-007,4h-005,After Hours,sell,out,21038.5,0,0.0,,NAS100,Win,Long,100,1056.3333333333333,0.1,20985.0,21069.7,83.67,NAS100,100,130.56,2303.78,3193.45,0,337.26,99.18,2250.91,-498.18,89.15,10,-461.5,BULL,LOW,200,MANUAL,NAS100,86.33,80,106.94,2513.46,-246.15,0,-621.26,53.32,2108.84,-678.54,83.26,20,-400.12,UNKNOWN,UNKNOWN,200,95.07,0.99,50.3,21,100,10,0.1,21069.7,20985.0,0.82,-0.03,81.5,-3.2,13,1,0.45,22073.21,0.5,21081.4,42.9,0.2,21,21026.8,-11.7,-0.06,1,,-7.4,45.87,-209.69,142.07,20,True,True,2025.01.03 02:05,0,83.67,100,2303.78,3193.45,130.56,0,337.26,99.18,2250.91,-498.18,89.15,10,-461.5,BULL,LOW,False,PASS,True,2025.01.03 03:45,0.0,81.0,80.0,-3735.42,-530.6,-320.75,0.0,367.8,31.05,-617.11,717.22,-56.84,0.0,104.02,BEAR,LOW,0.0,PASS,,2025-11-26T10:43:25.168Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
34,MT5_Backtest,34,2025.01.03 04:45:00,2025-01-03,04:45:00,Friday,January,2025-01-02,20:45:00,Thursday,January,15-084,30-042,1h-021,2h-011,3h-007,4h-006,After Hours,TP_Integrated_EA,5.0.0.0_MASTER,,MT5,NAS100,M1,sell,in,1.9,21058.2,9,17.48,9,35,35,2025-01-03,00:10:00,Friday,January,15-001,30-001,1h-001,2h-001,3h-001,4h-001,After Hours,buy,out,21049.0,0,0.0,,NAS100,Win,Short,205,194.22222222222223,0.02,21083.4,21030.7,83.67,NAS100,60,-42.14,-516.45,-1725.02,0,-202.87,16.65,-1572.02,558.96,-42.3,0,474.8,BEAR,NORMAL,200,MANUAL,NAS100,78.33,80,-298.39,-3885.25,-237.06,0,518.09,30.92,-2418.96,-312.19,-138.85,10,81.36,UNKNOWN,UNKNOWN,200,17.48,0.18,9.2,42,205,10,0.02,21030.7,21083.4,0.28,-0.25,27.5,-25.2,32,9,0.08,120614.42,0.5,21032.7,16.3,-0.08,13,21108.7,-59.7,0.28,40,,7.1,-14.26,3368.8,846.94,-20,True,True,2025.01.03 04:45,0,83.67,60,-516.45,-1725.02,-42.14,0,-202.87,16.65,-1572.02,558.96,-42.3,0,474.8,BEAR,NORMAL,False,PASS,True,2025.01.03 08:10,0.0,81.0,80.0,540.17,1870.01,20.98,0.0,612.91,91.31,-363.47,119.26,-74.52,0.0,115.22,BULL,NORMAL,0.0,PASS,,2025-11-26T10:43:25.189Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
36,MT5_Backtest,36,2025.01.03 08:10:00,2025-01-03,08:10:00,Friday,January,2025-01-03,00:10:00,Friday,January,15-001,30-001,1h-001,2h-001,3h-001,4h-001,After Hours,TP_Integrated_EA,5.0.0.0_MASTER,,MT5,NAS100,M1,buy,in,1.9,21049.0,9,523.45,10,37,37,2025-01-03,14:45:00,Friday,January,15-060,30-030,1h-015,2h-008,3h-005,4h-004,Closing Bell,sell,out,21324.5,0,0.0,,NAS100,Win,Long,875,5816.111111111112,0.52,21030.2,21379.5,81.0,NAS100,80,20.98,540.17,1870.01,0,612.91,91.31,-363.47,119.26,-74.52,0,115.22,BULL,NORMAL,200,MANUAL,NAS100,67.67,60,-140.03,-749.73,1832.15,0,574.13,55.38,136.72,1207.81,2.49,0,405.18,UNKNOWN,UNKNOWN,200,523.45,5.2,275.5,176,875,10,0.52,21379.5,21030.2,3.31,-0.19,330.5,-18.8,162,75,2.45,4017.61,0.5,21365.2,40.7,0.19,18,21296.7,-27.8,-0.13,2,,0.0,35.93,1289.9,-500.19,20,True,True,2025.01.03 08:10,0,81.0,80,540.17,1870.01,20.98,0,612.91,91.31,-363.47,119.26,-74.52,0,115.22,BULL,NORMAL,False,PASS,True,2025.01.03 22:45,0.0,78.33,80.0,-5822.38,-2089.69,-378.23,0.0,-510.36,15.92,-205.62,762.64,-63.81,0.0,307.0,BEAR,LOW,0.0,PASS,,2025-11-26T10:43:25.194Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
44,MT5_Backtest,44,2025.01.06 04:50:00,2025-01-06,04:50:00,Monday,January,2025-01-05,20:50:00,Sunday,January,15-084,30-042,1h-021,2h-011,3h-007,4h-006,After Hours,TP_Integrated_EA,5.0.0.0_MASTER,,MT5,NAS100,M1,buy,in,1.99,21339.9,9,39.4,10,45,45,2025-01-06,00:10:00,Monday,January,15-001,30-001,1h-001,2h-001,3h-001,4h-001,After Hours,sell,out,21359.7,0,0.0,,NAS100,Win,Long,200,437.7777777777777,0.04,21329.4,21378.9,78.33,NAS100,100,148.07,1264.22,882.83,0,502.63,98.92,-972.49,2201.22,-8.1,10,904.59,BULL,NORMAL,200,MANUAL,NAS100,73.0,80,311.21,7427.44,-1473.79,0,-492.97,52.65,-336.68,-2631.89,-126.28,-10,-931.8,UNKNOWN,UNKNOWN,200,39.4,0.39,19.8,41,200,10,0.04,21378.9,21329.4,0.39,-0.11,39.0,-10.5,33,8,0.18,54135.53,0.5,21509.0,149.3,0.7,49,21358.4,-1.3,-0.01,1,,129.5,46.27,-6163.22,-635.82,20,True,True,2025.01.06 04:50,0,78.33,100,1264.22,882.83,148.07,0,502.63,98.92,-972.49,2201.22,-8.1,10,904.59,BULL,NORMAL,False,PASS,True,2025.01.06 08:10,0.0,78.33,80.0,-2752.12,-2525.03,-80.55,0.0,-79.96,18.59,-1177.49,832.1,-38.98,0.0,261.41,BEAR,NORMAL,0.0,PASS,,2025-11-26T10:43:25.217Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
48,MT5_Backtest,48,2025.01.06 08:25:00,2025-01-06,08:25:00,Monday,January,2025-01-06,00:25:00,Monday,January,15-002,30-001,1h-001,2h-001,3h-001,4h-001,After Hours,TP_Integrated_EA,5.0.0.0_MASTER,,MT5,NAS100,M1,buy,in,2.0,21371.4,10,62.2,10,49,49,2025-01-06,02:30:00,Monday,January,15-011,30-006,1h-003,2h-002,3h-001,4h-001,After Hours,sell,out,21402.5,0,0.0,,NAS100,Win,Long,125,622.0000000000001,0.06,21364.4,21421.3,81.0,NAS100,80,5.45,1238.65,3235.4,0,1077.93,90.38,491.99,1408.28,1.8,-10,285.21,BULL,NORMAL,200,MANUAL,NAS100,62.33,60,-158.06,-268.9,-189.73,0,243.29,27.84,-189.81,-150.85,-36.45,20,-178.63,UNKNOWN,UNKNOWN,200,62.2,0.62,31.1,26,125,10,0.06,21421.3,21364.4,0.5,-0.07,49.9,-7.0,22,2,0.29,34347.91,0.5,21571.0,168.5,0.79,38,21399.3,-3.2,-0.01,1,,137.4,62.54,1507.55,681.8,20,True,True,2025.01.06 08:25,0,81.0,80,1238.65,3235.4,5.45,0,1077.93,90.38,491.99,1408.28,1.8,-10,285.21,BULL,NORMAL,False,PASS,True,2025.01.06 10:30,0.0,81.0,60.0,-1963.17,-5287.59,-38.07,0.0,-985.03,16.77,-2877.2,-1978.81,-29.91,0.0,-278.35,BEAR,NORMAL,0.0,PASS,,2025-11-26T10:43:25.226Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
52,MT5_Backtest,52,2025.01.06 11:55:00,2025-01-06,11:55:00,Monday,January,2025-01-06,03:55:00,Monday,January,15-016,30-008,1h-004,2h-002,3h-002,4h-001,After Hours,TP_Integrated_EA,5.0.0.0_MASTER,,MT5,NAS100,M1,buy,in,1.98,21489.0,9,11.88,9,53,53,2025-01-06,04:55:00,Monday,January,15-020,30-010,1h-005,2h-003,3h-002,4h-002,After Hours,sell,out,21495.0,0,0.0,,NAS100,Win,Long,60,132.0,0.01,21481.5,21518.5,81.0,NAS100,100,516.01,7585.82,3197.71,0,1178.86,99.05,490.57,1817.27,162.95,20,423.05,BULL,HIGH,200,MANUAL,NAS100,78.33,80,424.69,17195.24,-3228.5,0,-1826.7,52.92,2256.15,-6349.22,4.6,-10,-2101.28,UNKNOWN,UNKNOWN,200,11.88,0.12,6.0,13,60,10,0.01,21518.5,21481.5,0.3,-0.08,29.5,-7.5,6,2,0.06,180820.71,0.5,21673.9,178.9,0.83,48,21468.8,-26.2,-0.12,41,,172.9,46.13,-9609.42,-1765.58,20,True,True,2025.01.06 11:55,0,81.0,100,7585.82,3197.71,516.01,0,1178.86,99.05,490.57,1817.27,162.95,20,423.05,BULL,HIGH,False,PASS,True,2025.01.06 12:55,0.0,83.67,80.0,-1815.91,-1313.97,-232.94,0.0,177.99,31.18,-644.89,1679.86,-160.83,0.0,491.7,BEAR,NORMAL,0.0,PASS,,2025-11-26T10:43:25.235Z,"{'mt5Report': 'MT5_Backtest', 'eaTradesCSV': 'EA_Trades', 'eaSignalsCSV': 'EA_Signals'}"
