dataset,symbol,version,timeframe,signal_metric,outcome_metric,correlation,p_value,n_samples,significant
NAS100_v3.0_05M,NAS100,v3.0,05M,Quality,Profit,0.014406346629685473,0.598951924941684,1335,False
NAS100_v3.0_05M,NAS100,v3.0,05M,Quality,ProfitPercent,0.014017309021620863,0.6088575295650037,1335,False
NAS100_v3.0_05M,NAS100,v3.0,05M,Quality,IsWin,0.07233335730929177,0.008196192126522884,1335,True
NAS100_v3.0_05M,NAS100,v3.0,05M,Quality,RRatio,0.014017309021620863,0.6088575295650037,1335,False
NAS100_v3.0_05M,NAS100,v3.0,05M,Quality,Pips,0.014258195321985953,0.6027155238040377,1335,False
NAS100_v3.0_05M,NAS100,v3.0,05M,Confluence,Profit,0.017032337125727017,0.5340840691436054,1335,False
NAS100_v3.0_05M,NAS100,v3.0,05M,Confluence,ProfitPercent,0.016873129560374546,0.5379137383592397,1335,False
NAS100_v3.0_05M,NAS100,v3.0,05M,Confluence,IsWin,0.0850501292935309,0.0018692407167925306,1335,True
NAS100_v3.0_05M,NAS100,v3.0,05M,Confluence,RRatio,0.016873129560374546,0.5379137383592397,1335,False
NAS100_v3.0_05M,NAS100,v3.0,05M,Confluence,Pips,0.01691605435877907,0.5368798464976039,1335,False
NAS100_v3.0_05M,NAS100,v3.0,05M,Momentum,Profit,0.0460482556676654,0.09260544910598076,1335,False
NAS100_v3.0_05M,NAS100,v3.0,05M,Momentum,ProfitPercent,0.04485680724131794,0.10136918523709265,1335,False
NAS100_v3.0_05M,NAS100,v3.0,05M,Momentum,IsWin,0.03724618072329802,0.1738029898228685,1335,False
NAS100_v3.0_05M,NAS100,v3.0,05M,Momentum,RRatio,0.04485680724131794,0.10136918523709265,1335,False
NAS100_v3.0_05M,NAS100,v3.0,05M,Momentum,Pips,0.04603181757015631,0.09272208638215285,1335,False
NAS100_v3.0_05M,NAS100,v3.0,05M,Speed,Profit,0.08474818483860608,0.0019405977193910258,1335,True
NAS100_v3.0_05M,NAS100,v3.0,05M,Speed,ProfitPercent,0.08346788720562277,0.0022717744236873407,1335,True
NAS100_v3.0_05M,NAS100,v3.0,05M,Speed,IsWin,0.07446927544436492,0.006485593106491412,1335,True
