dataset,symbol,version,timeframe,total_trades,win_rate,avg_profit,total_profit,correlations_found
NAS100_v3.0_05M,NAS100,v3.0,05M,1335,0.26741573033707866,0.018531835205992497,24.739999999999984,30
NAS100_v2.6_1H,NAS100,v2.6,1H,45,0.13333333333333333,-5.607555555555555,-252.33999999999997,30
NAS100_v3.1_05M,NAS100,v3.1,05M,533,0.38461538461538464,0.12615384615384617,67.24000000000001,30
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,134,0.4253731343283582,0.57,76.38,30
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,742,0.19137466307277629,-1.3518059299191372,-1003.0399999999998,30
NAS100_v3.1_1H,NAS100,v3.1,1H,28,0.42857142857142855,0.6507142857142858,18.220000000000002,30
NAS100_v3.0_1H,NAS100,v3.0,1H,419,0.29832935560859186,0.15398568019093078,64.52,30
NAS100_v3.2_05M,NAS100,v3.2,05M,373,0.225201072386059,1.0787131367292226,402.36000000000007,30
NAS100_v3.2_1H,NAS100,v3.2,1H,4,0.75,5.767499999999999,23.069999999999997,0
NAS100_v3.21_05M,NAS100,v3.21,05M,199,0.4221105527638191,0.07834170854271354,15.589999999999995,30
