SignalMetric,OutcomeMetric,PearsonCorr,PearsonPValue,SpearmanCorr,SpearmanPValue,Significant,AbsCorr
Acceleration,IsWin,0.2790766585601516,0.001093059598148459,0.2530609349818284,0.003176473455432545,True,0.2790766585601516
Confluence,IsWin,0.2739834691675791,0.0013581402859072207,0.27398346916757915,0.0013581402859072164,True,0.2739834691675791
Confluence,HoldTimeBars,0.26585486617399506,0.0019045190219354083,0.2450486190057717,0.004321186112542512,True,0.26585486617399506
Acceleration,Profit,0.25772170665586835,0.0026440406760195384,0.22783724204694566,0.008106196883867427,True,0.25772170665586835
Acceleration,RRatio,0.25552474457111646,0.002884056109543658,0.22462374842579086,0.00907330500681234,True,0.25552474457111646
Acceleration,ProfitPercent,0.25552474457111646,0.002884056109543658,0.22462374842579086,0.00907330500681234,True,0.25552474457111646
Jerk,Profit,0.2295142326168559,0.0076386713596521905,0.1929958004024855,0.025469525658158753,True,0.2295142326168559
Acceleration,Pips,0.22813166864019832,0.008022325798592715,0.21673337572787688,0.011891832366409597,True,0.22813166864019832
Jerk,ProfitPercent,0.22522443682327034,0.008885143460884032,0.18727664933477978,0.030251436810043112,True,0.22522443682327034
Jerk,RRatio,0.22522443682327034,0.008885143460884032,0.18727664933477978,0.030251436810043112,True,0.22522443682327034
Jerk,Pips,0.21809407753150403,0.011356936493570583,0.19954612900410235,0.020801319363388072,True,0.21809407753150403
Momentum,Profit,0.20979345243548367,0.014977528579431014,0.20102596589494573,0.019855289799665148,True,0.20979345243548367
Momentum,ProfitPercent,0.20804736998303203,0.01585588012690842,0.19780047132757267,0.02196698587760468,True,0.20804736998303203
Momentum,RRatio,0.20804736998303203,0.01585588012690842,0.19780047132757267,0.02196698587760468,True,0.20804736998303203
Speed,IsWin,0.2067968511695874,0.016512150845463765,0.17462570301367494,0.043587731173188676,True,0.2067968511695874
Momentum,IsWin,0.19642625364596486,0.022923733490593918,0.1999903302670579,0.020513353546421424,True,0.19642625364596486
Acceleration,HoldTimeBars,0.19631654301290377,0.023001634808282427,0.16452342151624666,0.05748306681594874,True,0.19631654301290377
Acceleration,MAE,-0.19055349880921216,0.027426072130149276,-0.15379992269230292,0.07602091552867836,True,0.19055349880921216
Speed,Profit,0.19039114071111757,0.027560563382749592,0.1534634453135168,0.07667267620241408,True,0.19039114071111757
Momentum,HoldTimeBars,0.18966900332961456,0.028165588198078233,0.1949108266453236,0.02402006856754398,True,0.18966900332961456
Jerk,HoldTimeBars,0.18816118296723422,0.029465429273211476,0.18136180965178442,0.035978487072578676,True,0.18816118296723422
Speed,RRatio,0.18776121926480643,0.029818664434816462,0.15070761480816472,0.08218182007865814,True,0.18776121926480643
Speed,ProfitPercent,0.18776121926480643,0.029818664434816462,0.15070761480816472,0.08218182007865814,True,0.18776121926480643
Momentum,Pips,0.1747074991045432,0.043487846290262824,0.19672813875484735,0.022710544839342355,True,0.1747074991045432
Speed,HoldTimeBars,0.1657572769634758,0.055611782657530445,0.16514189311838134,0.05653871378524889,False,0.1657572769634758
Quality,MFE,-0.16292749646867688,0.05997992728137534,-0.10859552506897108,0.2116634988955663,False,0.16292749646867688
Confluence,Profit,0.15964632517767183,0.06539292896512572,0.21880746492829845,0.011085031026596763,False,0.15964632517767183
Confluence,ProfitPercent,0.15813611489916057,0.06801484758116857,0.2172600569392617,0.011682228004640992,False,0.15813611489916057
