EAName_trade,EAVersion_trade,Ticket,OpenTime,CloseTime,Symbol_trade,Type,Lots,OpenPrice,ClosePrice,SL,TP,EntryQuality,EntryConfluence,EntryMomentum,EntryEntropy,EntryZone,EntryRegime,EntrySpread,ExitReason,ExitQuality,ExitConfluence,ExitZone,ExitRegime,Profit,ProfitPercent,Pips,HoldTimeBars,HoldTimeMinutes,RiskPercent,RRatio,Slippage,Commission,MFE,MAE,MFE_Percent,MAE_Percent,MFE_Pips,MAE_Pips,MFE_TimeBars,MAE_TimeBars,RunUp_Price,RunUp_Pips,RunUp_Percent,RunUp_TimeBars,RunDown_Price,RunDown_Pips,RunDown_Percent,RunDown_TimeBars,BalanceAfter,EquityAfter,DrawdownPercent,EntryHour,EntryDayOfWeek,ExitHour,ExitDayOfWeek,EAName_signal,EAVersion_signal,Timestamp,Symbol_signal,Signal,SignalType,Quality,Confluence,Momentum,Speed,Acceleration,Entropy,Jerk,Zone,Regime,Price,Spread,HighThreshold,LowThreshold,Balance,Equity,OpenPositions,PhysicsPass,RejectReason,Hour,DayOfWeek,IsWin,ProfitCategory,RiskAdjustedReturn,QualityBin
TP_Integrated_EA,3.11_PRODUCTION,2,2025-01-02 02:15:00,2025.01.03 02:15,NAS100,SELL,0.01,21033.8,21023.0,21533.8,20033.8,91.66666666666669,80.0,-498.73776547727925,0.0,BEAR,NORMAL,25.0,MANUAL,0.0,0.0,UNKNOWN,UNKNOWN,0.11,0.0109985701858758,10.799999999999272,277,1440,1.0,0.0109985701858758,0.0,0.0,20810.0,21312.1,2.237999999999993,-2.782999999999993,223.79999999999927,-278.2999999999993,212,145,21014.5,8.5,-0.0404319079103838,2,21081.4,-58.400000000001455,0.2777909908195854,39,1000.13,1000.07,0.0,2,4,2,5,TP_Integrated_EA,3.11_PRODUCTION,2025-01-02 02:15:00,NAS100,-1,SELL,91.66666666666669,80.0,-498.73776547727925,-10664.662240450252,-3270.6243535005315,0.0,-401.8460869640798,BEAR,NORMAL,21033.8,25.0,0.0,0.0,1000.0,1000.0,0,PASS,PASS,2,4,1,Small Win,0.11,Medium (90-95)
TP_Integrated_EA,3.11_PRODUCTION,4,2025-01-03 02:15:00,2025.01.03 13:10,NAS100,BUY,0.02,21022.5,21042.7,20523.0,22023.0,91.66666666666669,100.0,206.79904916275143,0.0,BULL,LOW,20.0,MANUAL,0.0,0.0,UNKNOWN,UNKNOWN,0.4,0.039978811230048,20.200000000000728,132,655,1.0,0.039978811230048,0.0,0.0,21108.7,21014.5,0.8620000000000073,-0.08,86.20000000000073,-8.0,111,2,21258.1,215.39999999999785,1.023632898820008,48,21030.2,-12.5,-0.0594030233762777,15,1000.53,1000.48,0.0,2,5,13,5,TP_Integrated_EA,3.11_PRODUCTION,2025-01-03 02:15:00,NAS100,1,BUY,91.66666666666669,100.0,206.54904916275143,9375.586783134062,4003.1343789721086,0.0,-37.372779281426574,BULL,LOW,21021.0,20.0,0.0,0.0,1000.0,1000.13,1,PASS,PASS,2,5,1,Small Win,0.4,Medium (90-95)
TP_Integrated_EA,3.11_PRODUCTION,6,2025-01-03 13:10:00,2025.01.06 13:26,NAS100,SELL,0.02,21042.7,21542.8,21542.7,20042.7,91.66666666666669,80.0,-297.9919948245929,0.0,BEAR,NORMAL,20.0,SL,0.0,0.0,UNKNOWN,UNKNOWN,-10.0,-1.0094586273381585,-500.09999999999854,279,4336,1.0,-1.0094586273381585,0.0,0.0,21032.2,21542.5,0.105,-4.997999999999993,10.5,-499.7999999999993,15,279,21468.8,74.0,-0.3435022374064653,35,21714.2,-171.40000000000146,0.7956254525874142,49,990.63,990.63,0.0,13,5,13,1,TP_Integrated_EA,3.11_PRODUCTION,2025-01-03 13:10:00,NAS100,-1,SELL,91.66666666666669,80.0,-297.9919948245929,-8538.346604031021,-1843.1417120264573,0.0,-86.51922969194652,BEAR,NORMAL,21042.7,20.0,0.0,0.0,1000.13,1000.53,1,PASS,PASS,13,5,0,Large Loss,-10.0,Medium (90-95)
TP_Integrated_EA,3.11_PRODUCTION,8,2025-01-08 02:05:00,2025.01.09 02:40,NAS100,BUY,0.01,21229.5,21117.8,20729.5,22229.5,94.33333333333334,100.0,243.01311780830227,0.0,BULL,LOW,20.0,MANUAL,0.0,0.0,UNKNOWN,UNKNOWN,-1.12,-0.1131919108209445,-111.70000000000071,284,1475,1.0,-0.1131919108209445,0.0,0.0,21284.2,21002.5,0.5470000000000073,-2.27,54.70000000000073,-227.0,131,210,21184.8,67.0,0.3172678972241426,25,21109.6,-8.200000000000728,-0.0388298023468388,1,989.47,989.45,0.0,2,3,2,4,TP_Integrated_EA,3.11_PRODUCTION,2025-01-08 02:05:00,NAS100,1,BUY,94.33333333333334,100.0,243.01311780830227,5610.29960148142,1394.7306438364908,0.0,149.65310595862894,BULL,LOW,21227.5,20.0,0.0,0.0,990.63,990.63,0,PASS,PASS,2,3,0,Small Loss,-1.12,Medium (90-95)
TP_Integrated_EA,3.11_PRODUCTION,10,2025-01-09 02:40:00,2025.01.10 09:30,NAS100,SELL,0.01,21117.8,21112.8,21617.8,20117.8,91.66666666666669,80.0,-329.1547963784802,0.0,BEAR,LOW,20.0,MANUAL,0.0,0.0,UNKNOWN,UNKNOWN,0.05,0.0050528528407138,5.0,269,1850,1.0,0.0050528528407138,0.0,0.0,21022.0,21186.8,0.9579999999999927,-0.69,95.79999999999929,-69.0,182,25,21089.0,23.799999999999272,-0.1127278238793493,21,21211.8,-99.0,0.468909855632602,45,989.54,989.51,0.0,2,4,9,5,TP_Integrated_EA,3.11_PRODUCTION,2025-01-09 02:40:00,NAS100,-1,SELL,91.66666666666669,80.0,-329.1547963784802,-8626.064764661163,-1874.384093822488,0.0,-340.8674635275888,BEAR,LOW,21117.8,20.0,0.0,0.0,990.63,989.47,1,PASS,PASS,2,4,1,Small Win,0.05,Medium (90-95)
TP_Integrated_EA,3.11_PRODUCTION,12,2025-01-10 09:30:00,2025.01.13 03:45,NAS100,BUY,0.01,21111.8,20759.9,20612.8,22112.8,94.33333333333334,100.0,206.47549997267217,0.0,BULL,NORMAL,20.0,MANUAL,0.0,0.0,UNKNOWN,UNKNOWN,-3.52,-0.3570378034060595,-351.8999999999978,207,3975,1.0,-0.3570378034060595,0.0,0.0,21211.8,20718.9,1.0,-3.928999999999978,100.0,-392.8999999999978,45,93,20798.2,38.29999999999927,0.1844902913790493,9,20711.4,-48.5,-0.2336234760283045,20,985.89,985.86,0.0,9,5,3,1,TP_Integrated_EA,3.11_PRODUCTION,2025-01-10 09:30:00,NAS100,1,BUY,94.33333333333334,100.0,205.9754999726721,6490.516536254068,3924.17214923334,0.0,-152.51377373705236,BULL,NORMAL,21110.8,20.0,0.0,0.0,989.47,989.54,1,PASS,PASS,9,5,0,Small Loss,-3.52,Medium (90-95)
TP_Integrated_EA,3.11_PRODUCTION,14,2025-01-13 03:45:00,2025.01.14 09:50,NAS100,SELL,0.01,20759.9,20919.8,21259.9,19759.9,99.66666666666669,80.0,-511.1491565415593,0.0,BEAR,NORMAL,20.0,MANUAL,0.0,0.0,UNKNOWN,UNKNOWN,-1.6,-0.162550416027471,-159.89999999999782,350,1805,1.0,-0.162550416027471,0.0,0.0,20548.2,20946.2,2.117000000000007,-1.8629999999999929,211.70000000000076,-186.29999999999927,91,251,20888.8,31.0,-0.1481849730876968,49,20997.6,-77.79999999999927,0.3718964808458937,12,984.31,984.29,0.0,3,1,9,2,TP_Integrated_EA,3.11_PRODUCTION,2025-01-13 03:45:00,NAS100,-1,SELL,99.66666666666669,80.0,-511.1491565415593,-14749.81054674137,-3588.076349616801,0.0,-509.6680715136118,BEAR,NORMAL,20759.9,20.0,0.0,0.0,989.54,985.89,1,PASS,PASS,3,1,0,Small Loss,-1.6,Very High (97+)
TP_Integrated_EA,3.11_PRODUCTION,16,2025-01-14 09:50:00,2025.01.15 04:40,NAS100,BUY,0.01,20919.1,20792.2,20419.8,21919.8,94.33333333333334,100.0,249.993978712258,0.0,BULL,NORMAL,20.0,MANUAL,0.0,0.0,UNKNOWN,UNKNOWN,-1.27,-0.1291963377416073,-126.89999999999782,215,1130,1.0,-0.1291963377416073,0.0,0.0,20997.6,20629.1,0.785,-2.9,78.5,-290.0,12,148,20812.9,20.700000000000728,0.0995565644809146,48,20783.4,-8.799999999999272,-0.0423235636440553,18,983.0,982.98,0.0,9,2,4,3,TP_Integrated_EA,3.11_PRODUCTION,2025-01-14 09:50:00,NAS100,1,BUY,94.33333333333334,100.0,249.6439787122576,5325.334839670877,1717.6775794437783,0.0,-37.296919563323314,BULL,NORMAL,20917.8,20.0,0.0,0.0,985.89,984.31,1,PASS,PASS,9,2,0,Small Loss,-1.27,Medium (90-95)
TP_Integrated_EA,3.11_PRODUCTION,18,2025-01-15 04:40:00,2025.01.15 11:40,NAS100,SELL,0.01,20792.2,20815.4,21292.2,19792.2,94.33333333333334,80.0,-175.67807995830896,0.0,BEAR,LOW,20.0,MANUAL,0.0,0.0,UNKNOWN,UNKNOWN,-0.23,-0.0234032377870712,-23.200000000000728,85,420,1.0,-0.0234032377870712,0.0,0.0,20767.7,20818.2,0.245,-0.26,24.5,-26.0,65,84,20790.2,25.200000000000728,-0.1210642120737565,9,21166.5,-351.09999999999854,1.6867319388529576,49,982.77,982.74,0.0,4,3,11,3,TP_Integrated_EA,3.11_PRODUCTION,2025-01-15 04:40:00,NAS100,-1,SELL,94.33333333333334,80.0,-175.67807995830896,-4055.0229160686345,-1907.7975233779637,0.0,-303.16202191749,BEAR,LOW,20792.2,20.0,0.0,0.0,984.31,983.0,1,PASS,PASS,4,3,0,Small Loss,-0.23,Medium (90-95)
TP_Integrated_EA,3.11_PRODUCTION,20,2025-01-15 11:40:00,2025.01.16 11:35,NAS100,BUY,0.01,20815.2,21329.6,20315.4,21815.4,91.66666666666669,100.0,448.5663772400948,0.0,BULL,HIGH,20.0,MANUAL,0.0,0.0,UNKNOWN,UNKNOWN,5.14,0.520311377003047,514.3999999999978,276,1435,1.0,0.520311377003047,0.0,0.0,21420.7,20790.2,6.055,-0.25,605.5,-25.0,257,9,21375.3,45.70000000000073,0.2142562448428509,29,21276.5,-53.09999999999855,-0.2489498162178313,43,987.87,987.86,0.0,11,3,11,4,TP_Integrated_EA,3.11_PRODUCTION,2025-01-15 11:40:00,NAS100,1,BUY,91.66666666666669,100.0,448.3863772400941,3724.283565102453,1364.164776177895,0.0,134.23005165106204,BULL,HIGH,20813.4,20.0,0.0,0.0,983.0,982.77,1,PASS,PASS,11,3,1,Medium Win,5.14,Medium (90-95)
